
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[00:03:24.880 --> 00:03:27.480]   These are extremely complex pieces of software.
[00:03:27.480 --> 00:03:29.720]   We have customers where over 70% of their developers
[00:03:29.720 --> 00:03:30.480]   use JetBrains.
[00:03:30.480 --> 00:03:32.200]   And because of that, we wanted to provide
[00:03:32.200 --> 00:03:34.320]   a great experience wherever the developer was.
[00:03:34.320 --> 00:03:36.000]   But one thing that we found was lacking
[00:03:36.000 --> 00:03:38.680]   was we were running into the limitations of building
[00:03:38.680 --> 00:03:41.640]   within the VS Code ecosystem on the VS Code platform.
[00:03:41.640 --> 00:03:44.880]   And I think we felt that there was an opportunity for us
[00:03:44.880 --> 00:03:47.360]   to build a premier sort of experience.
[00:03:47.360 --> 00:03:49.240]   And that was within the reach of the team.
[00:03:49.240 --> 00:03:51.680]   The team has done all the work, all the infrastructure work,
[00:03:51.680 --> 00:03:53.320]   to build the best possible experience
[00:03:53.320 --> 00:03:54.800]   and plug it into every ID.
[00:03:54.800 --> 00:03:56.680]   Why don't we just build our own ID that
[00:03:56.680 --> 00:03:58.640]   is, by far, the best experience?
[00:03:58.640 --> 00:04:01.680]   And as these agent products sort of become more and more
[00:04:01.680 --> 00:04:04.160]   possible, and all the research we had done on retrieval
[00:04:04.160 --> 00:04:05.720]   and just reasoning about code bases
[00:04:05.720 --> 00:04:07.680]   became more and more to life, we were like, hey,
[00:04:07.680 --> 00:04:11.280]   if we launched this agent product on top of a system
[00:04:11.280 --> 00:04:13.080]   that we didn't have a lot of control over,
[00:04:13.080 --> 00:04:14.880]   it's just going to limit the value of the product
[00:04:14.880 --> 00:04:16.800]   and we're just not going to be able to do the best tool.
[00:04:16.800 --> 00:04:19.280]   That's why we were super excited to launch OneSurf.
[00:04:19.280 --> 00:04:22.240]   I do think it is the most powerful ID system out there
[00:04:22.240 --> 00:04:24.440]   right now in the capability, right?
[00:04:24.440 --> 00:04:25.360]   And this is just the beginning.
[00:04:25.360 --> 00:04:28.600]   I think we suspect that there's much, much more we can do,
[00:04:28.600 --> 00:04:30.880]   more than just the autocomplete sort of site, right?
[00:04:30.880 --> 00:04:32.560]   When we originally talked, probably autocomplete
[00:04:32.560 --> 00:04:33.840]   was the only piece of functionality
[00:04:33.840 --> 00:04:35.880]   the product actually had.
[00:04:35.880 --> 00:04:37.480]   And we've come a long way since then, right?
[00:04:37.480 --> 00:04:39.920]   These systems can now reason about large code bases
[00:04:39.920 --> 00:04:41.840]   without you adding everything, right?
[00:04:41.840 --> 00:04:44.680]   But when you use Google, do you say, at New York Times post,
[00:04:44.680 --> 00:04:46.360]   blah, blah, blah, and ask it a question?
[00:04:46.360 --> 00:04:48.400]   No, we want it to be a magical experience
[00:04:48.400 --> 00:04:49.600]   where you don't need to do that.
[00:04:49.600 --> 00:04:51.120]   We want it to actually go at an execute code.
[00:04:51.120 --> 00:04:54.120]   We think code execution is a really, really important piece.
[00:04:54.120 --> 00:04:56.920]   And when you write software, you not only just
[00:04:56.920 --> 00:04:59.600]   kind of come up with an idea of the way software kind of gets
[00:04:59.600 --> 00:05:02.480]   created is software is originally this amorphous blob.
[00:05:02.480 --> 00:05:05.240]   And as time goes on, and you have an idea,
[00:05:05.240 --> 00:05:07.000]   the blob and the cloud sort of disappear
[00:05:07.000 --> 00:05:09.160]   and you see this mountain, and we want it to be the case
[00:05:09.160 --> 00:05:10.840]   that as soon as you see the mountain,
[00:05:10.840 --> 00:05:12.360]   the AI helps you get to the mountain.
[00:05:12.360 --> 00:05:13.960]   And as soon as you see the mountain,
[00:05:13.960 --> 00:05:16.040]   the AI just creates the mountain for you, right?
[00:05:16.040 --> 00:05:18.320]   And that's why we don't believe in this sort of modality
[00:05:18.320 --> 00:05:20.800]   where you just write a task and it just goes out and does it, right?
[00:05:20.800 --> 00:05:21.840]   It's good for zero to one apps.
[00:05:21.840 --> 00:05:23.080]   And I think people have been seeing
[00:05:23.080 --> 00:05:24.840]   wind surface capable of doing that on a let on show,
[00:05:24.840 --> 00:05:26.120]   we'll talk about that a little bit.
[00:05:26.120 --> 00:05:29.720]   But we've been seeing real value in real software development,
[00:05:29.720 --> 00:05:31.400]   which is more to say, this is not to say
[00:05:31.400 --> 00:05:32.960]   that current tools can.
[00:05:32.960 --> 00:05:36.200]   But I think more in the process of actually evolving code
[00:05:36.200 --> 00:05:38.640]   from a very basic idea, code is not really built
[00:05:38.640 --> 00:05:41.760]   because you have a PRD and then you get some output out.
[00:05:41.760 --> 00:05:44.560]   It's more like you have a general vision and yes.
[00:05:44.560 --> 00:05:46.640]   And as you write the code, you get more and more clarity
[00:05:46.640 --> 00:05:48.200]   on approaches that don't work and do work.
[00:05:48.200 --> 00:05:50.920]   You're killing ideas and creating ideas constantly.
[00:05:50.920 --> 00:05:53.080]   And we think wind surface is the right paradigm for that.
[00:05:53.080 --> 00:05:57.040]   - Can you spell out what you couldn't do in VS code?
[00:05:57.040 --> 00:05:59.520]   Because I think when we did the cursor episode,
[00:05:59.520 --> 00:06:01.960]   explain that everybody on Agronews is like,
[00:06:01.960 --> 00:06:03.960]   oh, why did you work?
[00:06:03.960 --> 00:06:05.560]   Why you could have done it in an extension?
[00:06:05.560 --> 00:06:09.120]   Like, can you maybe just explain more of those limitations?
[00:06:09.120 --> 00:06:11.320]   - I mean, I think a lot of the limitations
[00:06:11.320 --> 00:06:13.560]   around like APIs are pretty well documented.
[00:06:13.560 --> 00:06:16.760]   I don't know if we necessarily go down that rabbit hole.
[00:06:16.760 --> 00:06:18.600]   I think it was when we started thinking, okay,
[00:06:18.600 --> 00:06:21.640]   what are the pieces that we actually need to give the AI
[00:06:21.640 --> 00:06:24.560]   to get to that kind of emergent behavior
[00:06:24.560 --> 00:06:26.040]   that we haven't talked about, right?
[00:06:26.040 --> 00:06:28.640]   And yes, we were talking about all the knowledge
[00:06:28.640 --> 00:06:30.000]   retrieval systems that we've been building
[00:06:30.000 --> 00:06:31.400]   for the enterprise all this time.
[00:06:31.400 --> 00:06:33.720]   Like, that's obviously a component of that.
[00:06:33.720 --> 00:06:35.000]   We were talking about all the different tools
[00:06:35.000 --> 00:06:36.840]   that we give it access to so they can go like do
[00:06:36.840 --> 00:06:39.280]   like kind of terminal execution and things like that.
[00:06:39.280 --> 00:06:41.120]   And then the third main category that we realized
[00:06:41.120 --> 00:06:42.520]   would be like kind of that magical thing
[00:06:42.520 --> 00:06:44.800]   where you're not out there writing out a PRD,
[00:06:44.800 --> 00:06:46.680]   you're not scoping the problem for the AI,
[00:06:46.680 --> 00:06:48.400]   is that if we're actually being able to understand
[00:06:48.400 --> 00:06:49.920]   the kind of the trajectory of what developers
[00:06:49.920 --> 00:06:51.360]   are doing within the editor, right?
[00:06:51.360 --> 00:06:52.560]   If we actually are being able to see like,
[00:06:52.560 --> 00:06:55.440]   oh, the developer just went and opened up
[00:06:55.440 --> 00:06:56.880]   this part of the director and tried to view it,
[00:06:56.880 --> 00:06:58.280]   then they made these kind of edits.
[00:06:58.280 --> 00:06:59.920]   And they tried to do like some kind of commands
[00:06:59.920 --> 00:07:00.760]   in the terminal.
[00:07:00.760 --> 00:07:02.800]   And if we actually understand that trajectory,
[00:07:02.800 --> 00:07:04.840]   then our ability for the AI to just be immediately
[00:07:04.840 --> 00:07:06.800]   like, oh, I understand your intent,
[00:07:06.800 --> 00:07:07.640]   this is what you want to do,
[00:07:07.640 --> 00:07:09.840]   without you having to spell it all out for it,
[00:07:09.840 --> 00:07:12.320]   that is one like that kind of like magic would really happen.
[00:07:12.320 --> 00:07:13.760]   I think that was kind of like that into it.
[00:07:13.760 --> 00:07:16.240]   So you have the restrictions of the APIs
[00:07:16.240 --> 00:07:17.520]   that are well documented.
[00:07:17.520 --> 00:07:20.360]   We have the kind of vision of like what we actually
[00:07:20.360 --> 00:07:22.680]   need to be able to hook into to really expose this.
[00:07:22.680 --> 00:07:24.440]   And I think it was that combination of those two
[00:07:24.440 --> 00:07:26.840]   where we're like, I think it's about time to do the editor.
[00:07:26.840 --> 00:07:28.920]   The editor was not like a necessarily a new idea.
[00:07:28.920 --> 00:07:30.160]   I think we've been talking about the editor
[00:07:30.160 --> 00:07:31.480]   for a very long time.
[00:07:31.480 --> 00:07:33.800]   I think it's like, of course, we just pulled it all together
[00:07:33.800 --> 00:07:35.040]   in the last couple of months,
[00:07:35.040 --> 00:07:37.040]   but it was always something in the back of the mind.
[00:07:37.040 --> 00:07:38.320]   And it's only when we started realizing,
[00:07:38.320 --> 00:07:40.840]   okay, the models are not capable of doing this.
[00:07:40.840 --> 00:07:42.200]   We actually can look at this data.
[00:07:42.200 --> 00:07:43.520]   Like we have a really good conics awareness,
[00:07:43.520 --> 00:07:45.400]   and we're like, I think now is the time.
[00:07:45.400 --> 00:07:47.320]   And we went on and executed on it.
[00:07:47.320 --> 00:07:49.080]   - So it's busy not actually,
[00:07:49.080 --> 00:07:50.720]   it's not like one action you couldn't do,
[00:07:50.720 --> 00:07:52.800]   but it's like how you brought it all together.
[00:07:52.800 --> 00:07:54.560]   It's like the VS code's kind of like sandbox,
[00:07:54.560 --> 00:07:55.400]   so to speak.
[00:07:55.400 --> 00:07:58.200]   - Yeah, let me maybe like even just to go one step deeper
[00:07:58.200 --> 00:08:00.240]   on each of the aspects that Anshoul talked about,
[00:08:00.240 --> 00:08:01.920]   let's go with the API aspect.
[00:08:01.920 --> 00:08:03.520]   So right now, I'll give you an example,
[00:08:03.520 --> 00:08:04.800]   super complete is actually a feature
[00:08:04.800 --> 00:08:07.320]   that I think is like very exciting about the product, right?
[00:08:07.320 --> 00:08:09.680]   It can suggest refactors of the code.
[00:08:09.680 --> 00:08:12.000]   I think it can do it quickly and very powerfully.
[00:08:12.000 --> 00:08:14.400]   On VS code, actually, the problem for us
[00:08:14.400 --> 00:08:16.000]   wasn't actually being able to implement the feature.
[00:08:16.000 --> 00:08:17.320]   We had the feature for a while.
[00:08:17.320 --> 00:08:19.000]   Problem was actually even to show the feature,
[00:08:19.000 --> 00:08:21.320]   VS code would not expose an API for us to do this.
[00:08:21.320 --> 00:08:22.600]   So what we actually ended up doing
[00:08:22.600 --> 00:08:25.280]   was dynamically generating PNGs
[00:08:25.280 --> 00:08:27.040]   to actually go out and showcase this.
[00:08:27.040 --> 00:08:28.120]   It was not really aligned.
[00:08:28.120 --> 00:08:29.400]   We actually ended up doing it ourselves,
[00:08:29.400 --> 00:08:30.360]   and it took us a couple hours
[00:08:30.360 --> 00:08:32.400]   to actually go out and implement this, right?
[00:08:32.400 --> 00:08:34.240]   And that wasn't because we were bad engineers.
[00:08:34.240 --> 00:08:36.400]   No, our good engineering time was being spent fighting
[00:08:36.400 --> 00:08:38.440]   against the system rather than being a good system.
[00:08:38.440 --> 00:08:40.040]   Another example was we needed to go out
[00:08:40.040 --> 00:08:41.800]   and find ways to refactor the code.
[00:08:41.800 --> 00:08:44.200]   The VS code API would constantly keep breaking on us.
[00:08:44.200 --> 00:08:46.720]   We'd constantly need to show a worse and worse experience.
[00:08:46.720 --> 00:08:48.840]   This actually comes down to the second point
[00:08:48.840 --> 00:08:50.120]   which Anshoul brought up, which is like,
[00:08:50.120 --> 00:08:52.120]   we can come up with great work and great research.
[00:08:52.120 --> 00:08:53.880]   All the work we have here is not like,
[00:08:53.880 --> 00:08:55.760]   the research on cascade is not like a couple of months thing.
[00:08:55.760 --> 00:08:58.160]   This is like a nine months to a year thing
[00:08:58.160 --> 00:09:00.120]   that we've been investigating as a company.
[00:09:00.120 --> 00:09:01.680]   Investing in on evals, right?
[00:09:01.680 --> 00:09:04.440]   Even the evals for this are a lot of effort, right?
[00:09:04.440 --> 00:09:06.520]   A lot of actually systems worked to actually go out and do it.
[00:09:06.520 --> 00:09:08.040]   But ultimately, like, this needs to be a product
[00:09:08.040 --> 00:09:09.400]   that developers actually use.
[00:09:09.400 --> 00:09:11.400]   And I think, you know, let's even go for a cascade,
[00:09:11.400 --> 00:09:13.480]   for example, like, and looking at the trajectory.
[00:09:13.480 --> 00:09:14.600]   Yeah, we like to see-- - Can you define cascade
[00:09:14.600 --> 00:09:15.960]   because that's the first time you brought it up.
[00:09:15.960 --> 00:09:17.640]   - Yeah, so cascade is the product
[00:09:17.640 --> 00:09:20.800]   that is the actual, agentic part of the product, right?
[00:09:20.800 --> 00:09:23.520]   That is capable of taking information
[00:09:23.520 --> 00:09:24.800]   from both these human trajectories
[00:09:24.800 --> 00:09:27.040]   and these AI trajectories, what the human ended up doing,
[00:09:27.040 --> 00:09:29.560]   what the AI ended up doing to actually propose changes
[00:09:29.560 --> 00:09:31.640]   and actually execute code to finally get you
[00:09:31.640 --> 00:09:33.160]   the final work output, right?
[00:09:33.160 --> 00:09:34.560]   I'll even talk about something very basic.
[00:09:34.560 --> 00:09:35.760]   Cascade gives you a bunch of code.
[00:09:35.760 --> 00:09:38.440]   We want developers to very easily be able to review this code.
[00:09:38.440 --> 00:09:41.040]   Okay, then we can show developers a hideous UI
[00:09:41.040 --> 00:09:42.320]   that they don't wanna look at.
[00:09:42.320 --> 00:09:43.920]   No one's gonna really use this product.
[00:09:43.920 --> 00:09:46.040]   And we think that this is like a fundamental building block
[00:09:46.040 --> 00:09:47.920]   for us to make the product materially better.
[00:09:47.920 --> 00:09:50.000]   If people are not even willing to use the building block,
[00:09:50.000 --> 00:09:51.560]   where does this go, right?
[00:09:51.560 --> 00:09:53.360]   And we just felt our ceiling was capped
[00:09:53.360 --> 00:09:55.520]   on what we could deliver as an experience.
[00:09:55.520 --> 00:09:58.600]   Interestingly, JetBrains is a much more configurable paradigm
[00:09:58.600 --> 00:10:02.000]   than VS Code is, but we just felt so limited
[00:10:02.000 --> 00:10:05.040]   on both the sort of directions that Onshore said
[00:10:05.040 --> 00:10:06.160]   that we were just like, hey,
[00:10:06.160 --> 00:10:08.520]   if we actually remove these limitations,
[00:10:08.520 --> 00:10:10.200]   we can move substantially faster.
[00:10:10.200 --> 00:10:13.240]   And we believe that this was a necessary step for us.
[00:10:13.240 --> 00:10:15.560]   - I'm curious more about the EVALS said,
[00:10:15.560 --> 00:10:17.720]   because you brought it up, and we have to ask
[00:10:17.720 --> 00:10:19.760]   what EVALS means and anyone brings up EVALS.
[00:10:19.760 --> 00:10:21.160]   How do you evaluate a thing like this
[00:10:21.160 --> 00:10:26.160]   that is so multi-stepped and so spanning like so much context?
[00:10:26.360 --> 00:10:28.760]   - So what you can imagine we can sort of do,
[00:10:28.760 --> 00:10:30.480]   and this is like one of the beautiful things about code
[00:10:30.480 --> 00:10:31.880]   is code can be executed.
[00:10:31.880 --> 00:10:33.960]   We could go take a bunch of open source code,
[00:10:33.960 --> 00:10:35.960]   we can find a bunch of commits, right?
[00:10:35.960 --> 00:10:38.720]   And we can actually see if some of these commits
[00:10:38.720 --> 00:10:40.440]   have tests associated with them.
[00:10:40.440 --> 00:10:41.720]   We can start stripping the commits,
[00:10:41.720 --> 00:10:44.240]   and the approach of stripping the commits is good
[00:10:44.240 --> 00:10:45.840]   because it tests the fact that the code
[00:10:45.840 --> 00:10:47.080]   is in an incomplete state, right?
[00:10:47.080 --> 00:10:48.160]   When you're writing the commit,
[00:10:48.160 --> 00:10:50.000]   the goal is not the commit has already been written for you.
[00:10:50.000 --> 00:10:51.920]   You're given it in a state that where the entire thing
[00:10:51.920 --> 00:10:52.960]   has not been written.
[00:10:52.960 --> 00:10:55.240]   And can we go out and actually retrieve the right snippets
[00:10:55.240 --> 00:10:57.600]   and actually come up with a cohesive plan
[00:10:57.600 --> 00:10:59.880]   and iterative loop that gets you to a state
[00:10:59.880 --> 00:11:01.080]   where the code actually passes.
[00:11:01.080 --> 00:11:02.600]   So you can actually break down
[00:11:02.600 --> 00:11:04.640]   and decompose this complex problem
[00:11:04.640 --> 00:11:06.600]   into like a planning retrieval
[00:11:06.600 --> 00:11:07.960]   and multi-stepped execution problem.
[00:11:07.960 --> 00:11:09.720]   And you can see on every single one of these axes
[00:11:09.720 --> 00:11:10.560]   is it getting better.
[00:11:10.560 --> 00:11:12.600]   And if you do this across enough repositories,
[00:11:12.600 --> 00:11:14.840]   you've turned this highly discontinuous
[00:11:14.840 --> 00:11:16.880]   and discrete problem of make up PR work
[00:11:16.880 --> 00:11:19.120]   versus make it not work into a continuous problem.
[00:11:19.120 --> 00:11:21.080]   And now that's a hill you can actually climb,
[00:11:21.080 --> 00:11:23.080]   and that's a way that you can actually apply research
[00:11:23.080 --> 00:11:25.120]   where it's like, hey, my retrieval got way better.
[00:11:25.120 --> 00:11:27.040]   This made my eval get better, right?
[00:11:27.040 --> 00:11:29.720]   And then notice how the way the eval works is
[00:11:29.720 --> 00:11:31.040]   I'm not that interested in the eval
[00:11:31.040 --> 00:11:32.760]   where purely it's the commit message
[00:11:32.760 --> 00:11:34.080]   and you finish the entire thing.
[00:11:34.080 --> 00:11:36.920]   I'm more interested in the code is in an incomplete state
[00:11:36.920 --> 00:11:38.800]   and the commit message isn't even given to you
[00:11:38.800 --> 00:11:40.520]   because that's another thing about developers.
[00:11:40.520 --> 00:11:43.080]   They are not willing to tell you exactly what's in their head.
[00:11:43.080 --> 00:11:45.440]   That's the actual important piece of this problem.
[00:11:45.440 --> 00:11:47.360]   We believe that developers will never
[00:11:47.360 --> 00:11:50.720]   completely pose the problem statement, right?
[00:11:50.720 --> 00:11:52.600]   Because the problem statement lives in their head,
[00:11:52.600 --> 00:11:55.600]   conversations that you and I have had at the coffee area,
[00:11:55.600 --> 00:11:57.000]   conversations that I've had over time,
[00:11:57.000 --> 00:11:59.160]   conversations I've had over JIRA, right?
[00:11:59.160 --> 00:12:00.800]   Maybe not JIRA, let's say linear, right?
[00:12:00.800 --> 00:12:02.200]   That's the cool thing nowadays.
[00:12:02.200 --> 00:12:03.240]   They're talking about JIRA.
[00:12:03.240 --> 00:12:06.560]   Yeah, so conversations I've had on linear
[00:12:06.560 --> 00:12:08.440]   and all of these things come together
[00:12:08.440 --> 00:12:10.920]   to actually finally propose sort of a solution there,
[00:12:10.920 --> 00:12:13.120]   which is why we want to test the incomplete code.
[00:12:13.120 --> 00:12:15.240]   What happens if the state is in an incomplete state
[00:12:15.240 --> 00:12:17.400]   and am I actually able to make this pass
[00:12:17.400 --> 00:12:19.280]   without the commit and can I actually guess your commit?
[00:12:19.280 --> 00:12:21.200]   Well, now you can convert the problem
[00:12:21.200 --> 00:12:23.160]   into a mask prediction problem
[00:12:23.160 --> 00:12:25.280]   where you want to guess both the high-level intent
[00:12:25.280 --> 00:12:26.960]   and as well as the remainder of changes
[00:12:26.960 --> 00:12:28.160]   to make the actual test pass.
[00:12:28.160 --> 00:12:30.080]   And you can imagine if you build up all of these,
[00:12:30.080 --> 00:12:31.840]   now you can see, hey, my systems are getting better,
[00:12:31.840 --> 00:12:32.920]   retrieval quality is getting better
[00:12:32.920 --> 00:12:34.160]   and you can actually start testing this
[00:12:34.160 --> 00:12:36.040]   on a larger and larger code basis, right?
[00:12:36.040 --> 00:12:38.480]   And I guess that's one thing that we honestly,
[00:12:38.480 --> 00:12:40.560]   to be honest, we could have done a little faster.
[00:12:40.560 --> 00:12:41.800]   We had the technology to go out
[00:12:41.800 --> 00:12:43.280]   and build these zero to one apps very quickly.
[00:12:43.280 --> 00:12:44.760]   And I think people are using Windsurf
[00:12:44.760 --> 00:12:47.120]   to actually do that and it's extremely impressive.
[00:12:47.120 --> 00:12:50.440]   But the real value I think is actually much deeper than that.
[00:12:50.440 --> 00:12:52.480]   It's actually that you take a large code base
[00:12:52.480 --> 00:12:53.640]   and it's actually a really good first pass
[00:12:53.640 --> 00:12:55.120]   and I'm not saying it's perfect,
[00:12:55.120 --> 00:12:56.240]   but it's only gonna keep getting better
[00:12:56.240 --> 00:12:59.240]   and we have like deep sort of infrastructure
[00:12:59.240 --> 00:13:00.480]   that actually is validating
[00:13:00.480 --> 00:13:02.200]   that we are getting better on this dimension.
[00:13:02.200 --> 00:13:03.960]   - We've already mentioned the end-to-end emails
[00:13:03.960 --> 00:13:06.160]   that we have for the system, which I think are like super cool,
[00:13:06.160 --> 00:13:08.200]   but I think you can even decompose each of those steps,
[00:13:08.200 --> 00:13:11.280]   the ideas of just take a retrieval, for example, right?
[00:13:11.280 --> 00:13:13.880]   Like, how can we make evil for retrieval really good?
[00:13:13.880 --> 00:13:15.880]   And I think this is just a general thing
[00:13:15.880 --> 00:13:17.120]   that's been true about us in the companies,
[00:13:17.120 --> 00:13:20.000]   like most emails and benchmarks that exist
[00:13:20.000 --> 00:13:22.880]   out there for software development is kind of bogus.
[00:13:22.880 --> 00:13:24.520]   That there's not really a better way of putting it.
[00:13:24.520 --> 00:13:26.920]   Like, okay, you have sweet bench, that's cool.
[00:13:26.920 --> 00:13:29.840]   No actual professional work looks like sweet bench,
[00:13:29.840 --> 00:13:31.040]   like human evil, same thing.
[00:13:31.040 --> 00:13:33.160]   Like these things are just a little kind of broken.
[00:13:33.160 --> 00:13:35.520]   So when you're trying to optimize against a metric
[00:13:35.520 --> 00:13:36.360]   that's a little bit broken,
[00:13:36.360 --> 00:13:38.200]   you end up making kind of sub-optimal decisions.
[00:13:38.200 --> 00:13:40.200]   So something that we're always very keen on is like,
[00:13:40.200 --> 00:13:41.600]   okay, what is the actual metric
[00:13:41.600 --> 00:13:43.480]   that we want to test for this part of the system?
[00:13:43.480 --> 00:13:45.080]   And so take a retrieval, for example.
