
[00:00:00.000 --> 00:00:03.440]   (upbeat music)
[00:01:30.560 --> 00:01:33.400]   My main question though is, Guy Poe,
[00:01:33.400 --> 00:01:35.800]   what is it that you saw that you said,
[00:01:35.800 --> 00:01:38.400]   you know what I'm going to go and start another company?
[00:01:38.400 --> 00:01:39.240]   Yeah, I think this is a question
[00:01:39.240 --> 00:01:40.560]   every multi-time founder gets.
[00:01:40.560 --> 00:01:42.720]   You're on company three now.
[00:01:42.720 --> 00:01:44.600]   So what is it that made you say, you know,
[00:01:44.600 --> 00:01:46.640]   after, especially after the success of sneak,
[00:01:46.640 --> 00:01:47.480]   like what made you say, you know,
[00:01:47.480 --> 00:01:49.080]   this is the moment where it's time for me to go
[00:01:49.080 --> 00:01:50.840]   get back at it, I don't want to get in the trenches
[00:01:50.840 --> 00:01:52.560]   and start from zero again.
[00:01:52.560 --> 00:01:55.000]   Yeah, it wasn't an easy decision,
[00:01:55.000 --> 00:01:57.080]   the sort of the push and pull maybe of it.
[00:01:57.080 --> 00:01:58.880]   On one hand on the personal front,
[00:01:58.880 --> 00:02:02.320]   I spent the last year and a bit at sneak
[00:02:02.320 --> 00:02:05.240]   in a slightly more part-time function,
[00:02:05.240 --> 00:02:07.120]   trying to figure out what it is that I do.
[00:02:07.120 --> 00:02:09.480]   I started sneak and I was CEO and I brought
[00:02:09.480 --> 00:02:11.480]   about five years in, brought in Peter McCabe,
[00:02:11.480 --> 00:02:13.440]   who's done a great job and I kind of focused
[00:02:13.440 --> 00:02:17.600]   or sort of took on the sort of product strategy role in there.
[00:02:17.600 --> 00:02:20.440]   And then after a bunch of excitements and period of time,
[00:02:20.440 --> 00:02:22.080]   I really kind of felt like I need to reassess
[00:02:22.080 --> 00:02:24.040]   what is it that I'm doing in the company
[00:02:24.040 --> 00:02:25.200]   and what is my role.
[00:02:25.200 --> 00:02:28.120]   And so on one hand, I had my sort of personal journey.
[00:02:28.120 --> 00:02:30.440]   We have a family charity, try to figure out,
[00:02:30.440 --> 00:02:31.800]   do I want to do that full-time?
[00:02:31.800 --> 00:02:33.000]   You know, I'm doing angel investment,
[00:02:33.000 --> 00:02:34.600]   do I want to do that full-time?
[00:02:34.600 --> 00:02:37.360]   Do I want the comfy life, sort of some part-time job
[00:02:37.360 --> 00:02:40.480]   in the company I believe in and then promoting?
[00:02:40.480 --> 00:02:43.240]   And during that time came to realize
[00:02:43.240 --> 00:02:45.920]   that what I want to do is found another company
[00:02:45.920 --> 00:02:48.360]   and it was resisting that conclusion.
[00:02:48.360 --> 00:02:52.440]   This is a, it doesn't make sense from a practicality perspective.
[00:02:52.440 --> 00:02:54.400]   You know, we're going to donate all the sort of the funds
[00:02:54.400 --> 00:02:56.400]   they still have that sneak as we're doing it.
[00:02:56.400 --> 00:02:58.880]   We're, you know, like I've got all the,
[00:02:58.880 --> 00:03:00.440]   whatever access and such that I need.
[00:03:00.440 --> 00:03:02.800]   So there's really no practicality to it.
[00:03:02.800 --> 00:03:05.240]   So took a while to realize that it's okay to do it
[00:03:05.240 --> 00:03:07.080]   because that's what I want to do.
[00:03:07.080 --> 00:03:10.080]   And that's kind of where my passion came to this realization
[00:03:10.080 --> 00:03:12.120]   that satisfaction comes out of struggle.
[00:03:12.120 --> 00:03:14.360]   If you want to feel that satisfaction to feel, you know,
[00:03:14.360 --> 00:03:16.400]   kind of that meaning, then you have to put yourself
[00:03:16.400 --> 00:03:17.480]   into a thing you might fail in.
[00:03:17.480 --> 00:03:20.520]   And, you know, while I learn a lot these journeys
[00:03:20.520 --> 00:03:22.440]   with, with engine investing and such,
[00:03:22.440 --> 00:03:23.760]   it's not the same when you don't own it,
[00:03:23.760 --> 00:03:26.320]   when you're not in the trenches and needing to do it.
[00:03:26.320 --> 00:03:27.560]   And I guess alongside that,
[00:03:27.560 --> 00:03:30.280]   I was focusing a lot on SNIX AI strategy
[00:03:30.280 --> 00:03:32.680]   and SNIX secures software development.
[00:03:32.680 --> 00:03:36.560]   And so if you want to figure out what should SNIX do about AI,
[00:03:36.560 --> 00:03:38.000]   you have to have some hypothesis
[00:03:38.000 --> 00:03:40.440]   about where is software development going
[00:03:40.440 --> 00:03:43.400]   because SNIX role very much relates to that.
[00:03:43.400 --> 00:03:44.720]   And the more I dug into that
[00:03:44.720 --> 00:03:47.720]   and the more the slot picture crystallized in my mind,
[00:03:47.720 --> 00:03:50.240]   the more I felt, I want to build that.
[00:03:50.240 --> 00:03:52.080]   That's what I want to do.
[00:03:52.080 --> 00:03:55.080]   It also felt like a domain that matched my skills,
[00:03:55.080 --> 00:03:57.920]   my passion, but was not competitive to SNIX.
[00:03:57.920 --> 00:04:02.240]   And so yeah, the combination of those two made me make the leap.
[00:04:02.240 --> 00:04:04.040]   And I will say my wife figured out
[00:04:04.040 --> 00:04:04.880]   that that's what I'm going to do,
[00:04:04.880 --> 00:04:07.680]   probably a good couple of months before I did.
[00:04:07.680 --> 00:04:09.320]   I wanted to talk to her about it a little bit more.
[00:04:09.320 --> 00:04:11.120]   So she was like with a smile saying,
[00:04:11.120 --> 00:04:13.680]   yeah, go ahead, talk like, you know where it's leading,
[00:04:13.680 --> 00:04:18.520]   but you know, sure, let's talk about it and here we are.
[00:04:18.520 --> 00:04:19.360]   - That is incredible.
[00:04:19.360 --> 00:04:23.680]   I've gone through some of that myself as well.
[00:04:23.680 --> 00:04:26.200]   And I always come back to like builders just want to build
[00:04:26.200 --> 00:04:27.640]   and you know, how do you enable that?
[00:04:27.640 --> 00:04:28.480]   - Yeah.
[00:04:28.480 --> 00:04:30.960]   - Was there some insight though that you saw as well
[00:04:30.960 --> 00:04:34.480]   around at the time that you were thinking about starting the company
[00:04:34.480 --> 00:04:35.840]   and making this transition, you know,
[00:04:35.840 --> 00:04:37.760]   working on the SNIX strategy?
[00:04:37.760 --> 00:04:41.320]   Like, what did you see and what you were learning that said,
[00:04:41.320 --> 00:04:43.120]   okay, this is different.
[00:04:43.120 --> 00:04:45.360]   This is an opportunity to do a generational shift.
[00:04:45.360 --> 00:04:48.720]   Like I'm sure, you know, now third time founder,
[00:04:48.720 --> 00:04:52.280]   you have learned a lot about like what to look for in terms of like,
[00:04:52.280 --> 00:04:54.280]   okay, there's a big potential opportunity here
[00:04:54.280 --> 00:04:58.480]   that I can kind of grab on to is like what built up over that time
[00:04:58.480 --> 00:05:01.560]   that led to you saying, okay, I see the generational shift
[00:05:01.560 --> 00:05:03.000]   or I see something I get attached to
[00:05:03.000 --> 00:05:05.160]   that like gives me an opportunity to something, you know,
[00:05:05.160 --> 00:05:06.000]   that's rewarding.
[00:05:06.000 --> 00:05:08.240]   It is going to be really difficult, but the upside is there.
[00:05:08.240 --> 00:05:10.760]   You know, whether it's personal or financial at this point,
[00:05:10.760 --> 00:05:12.600]   you know, there has to be something, right?
[00:05:12.600 --> 00:05:15.560]   So I'm really curious to sort of understand like it's, you know,
[00:05:15.560 --> 00:05:16.680]   was there some unique insights,
[00:05:16.680 --> 00:05:18.840]   some unique specific observation that got you to like,
[00:05:18.840 --> 00:05:21.240]   okay, this is a place we're going to make the bet.
[00:05:21.240 --> 00:05:25.600]   And I think first of all, like what drives me is impact, you know,
[00:05:25.600 --> 00:05:26.800]   in terms of like, is it money?
[00:05:26.800 --> 00:05:28.680]   Is it sort of product that like really,
[00:05:28.680 --> 00:05:31.680]   I think what motivates me is leaving a dent on the universe
[00:05:31.680 --> 00:05:33.440]   and sort of doing something that I think is significant.
[00:05:33.440 --> 00:05:35.840]   I felt like with SNIX, we've done that, right?
[00:05:35.840 --> 00:05:38.280]   There's a lot to still build on the business, a lot to still do,
[00:05:38.280 --> 00:05:40.920]   but I feel like a core part of that mission
[00:05:40.920 --> 00:05:44.000]   of like getting security more embedded into development
[00:05:44.000 --> 00:05:46.640]   and making that be a norm of like a good practice in development.
[00:05:46.640 --> 00:05:48.320]   Like I think a lot of that is achieved.
[00:05:48.320 --> 00:05:50.720]   And so the driver is the impact.
[00:05:50.720 --> 00:05:52.120]   And I saw a lot of things.
[00:05:52.120 --> 00:05:55.040]   You mentioned like funding multiple companies several times,
[00:05:55.040 --> 00:05:56.800]   like I learned a ton from that process,
[00:05:56.800 --> 00:05:58.640]   but I also learned a ton from angel investments
[00:05:58.640 --> 00:06:01.280]   and from working and accompanying those journeys.
[00:06:01.280 --> 00:06:03.080]   Someone once told me that as a founder,
[00:06:03.080 --> 00:06:06.600]   you learn in sequence and as an investor, you learn in parallel.
[00:06:06.600 --> 00:06:08.160]   I think it depends on your level of involvement
[00:06:08.160 --> 00:06:09.200]   with the companies and all that.
[00:06:09.200 --> 00:06:10.960]   And I think the combo, at least for me,
[00:06:10.960 --> 00:06:14.120]   proved very useful in building some pattern recognition
[00:06:14.120 --> 00:06:17.280]   and seeing things that work and don't work.
[00:06:17.280 --> 00:06:19.600]   And I guess what I've seen also through the angel investments
[00:06:19.600 --> 00:06:21.840]   because I was investing in AI dev tools and such,
[00:06:21.840 --> 00:06:24.720]   one is people are very short-term minded.
[00:06:24.720 --> 00:06:26.080]   I think AI is full of that.
[00:06:26.080 --> 00:06:30.440]   There's just so much opportunity to use AI to improve things
[00:06:30.440 --> 00:06:33.000]   that people are drawn to the immediate.
[00:06:33.000 --> 00:06:37.040]   Two is that things are just startups are just not differentiated.
[00:06:37.040 --> 00:06:40.640]   You look around and you talk to two companies they're doing
[00:06:40.640 --> 00:06:42.600]   and it's like they're really the same
[00:06:42.600 --> 00:06:45.440]   and they have all these like false perspectives
[00:06:45.440 --> 00:06:46.760]   of how they will differentiate.
[00:06:46.760 --> 00:06:48.720]   They're talking about, hey, we'll have a data mode.
[00:06:48.720 --> 00:06:51.040]   It's like, really, you're going against an incumbent.
[00:06:51.040 --> 00:06:53.560]   You're gonna be around for a year doing this.
[00:06:53.560 --> 00:06:56.600]   Maybe you've got seven customers, maybe 70 customers.
[00:06:56.600 --> 00:06:58.280]   Yet somehow you will have a data mode
[00:06:58.280 --> 00:07:00.400]   to an incumbent that has 70,000 of those.
[00:07:00.400 --> 00:07:04.640]   And so poor differentiation, poor differentiation strategy
[00:07:04.640 --> 00:07:06.240]   for like where would you build it
[00:07:06.240 --> 00:07:08.560]   even if you are temporarily differentiated.
[00:07:08.560 --> 00:07:10.440]   Very short-term orientation.
[00:07:10.440 --> 00:07:14.360]   And I felt like everybody was just thinking small.
[00:07:14.360 --> 00:07:16.360]   And the ones that we're thinking big,
[00:07:16.360 --> 00:07:18.920]   we're thinking big from a tech perspective,
[00:07:18.920 --> 00:07:20.120]   not a product perspective.
[00:07:20.120 --> 00:07:22.520]   If you look at all the top companies,
[00:07:22.520 --> 00:07:25.760]   like in terms of big names in the AI dev space
[00:07:25.760 --> 00:07:28.720]   and the ones that are really like the go big players,
[00:07:28.720 --> 00:07:31.680]   they're very tech-first versus product-first companies.
[00:07:31.680 --> 00:07:35.240]   You see magic dev, you see cognition,
[00:07:35.240 --> 00:07:38.120]   you see poolside, not diminished.
[00:07:38.120 --> 00:07:39.560]   Like I think these are amazing companies
[00:07:39.560 --> 00:07:42.200]   and amazing individuals building them.
[00:07:42.200 --> 00:07:44.400]   But my sense is that for the most part,
[00:07:44.400 --> 00:07:47.720]   they are building amazing technology
[00:07:47.720 --> 00:07:49.360]   and then out of that building the product.
[00:07:49.360 --> 00:07:50.440]   And I'm a product guy.
[00:07:50.440 --> 00:07:53.760]   I think about what is the product that is needed?
[00:07:53.760 --> 00:07:56.120]   You know, how do I anticipate users changing?
[00:07:56.120 --> 00:07:59.440]   How do I anticipate ecosystems and markets change?
[00:07:59.440 --> 00:08:03.520]   From there, I build technology in service of the product.
[00:08:04.480 --> 00:08:07.440]   And so I felt these gaps were there,
[00:08:07.440 --> 00:08:10.120]   the long-term orientation, thinking big,
[00:08:10.120 --> 00:08:12.560]   thinking product-first, they were all lacking
[00:08:12.560 --> 00:08:14.840]   and then strong differentiation.
[00:08:14.840 --> 00:08:16.480]   And I guess I had an answer to all of those, right?
[00:08:16.480 --> 00:08:19.040]   Like the picture that formed in my mind felt like,
[00:08:19.040 --> 00:08:21.680]   I have a sense of what is the long-term destination,
[00:08:21.680 --> 00:08:23.160]   how to build something towards it
[00:08:23.160 --> 00:08:24.600]   that is good from a user perspective
[00:08:24.600 --> 00:08:26.440]   and that would be sustainable.
[00:08:26.440 --> 00:08:28.760]   Not all of it is stuff that I can share here on the podcast.
[00:08:28.760 --> 00:08:30.920]   You know, some of those are still strategies
[00:08:30.920 --> 00:08:32.080]   that are in-house.
[00:08:32.080 --> 00:08:36.280]   But without that, I think founding an AI company right now
[00:08:36.280 --> 00:08:39.560]   is actually more risky than founding a company
[00:08:39.560 --> 00:08:41.840]   is in the inter-generic sense
[00:08:41.840 --> 00:08:44.240]   because everything is changing,
[00:08:44.240 --> 00:08:46.680]   the landscape is shifting from under you,
[00:08:46.680 --> 00:08:48.200]   everything is overfunded.
[00:08:48.200 --> 00:08:52.480]   And so it's actually a higher risk than typical.
[00:08:52.480 --> 00:08:54.280]   - So I think you're already alluded to these topic
[00:08:54.280 --> 00:08:57.200]   and I'm very, very interested to really go down
[00:08:57.200 --> 00:08:59.280]   this rabbit hole as far as we can,
[00:08:59.280 --> 00:09:03.640]   which is really about this AI-native developer theme
[00:09:03.640 --> 00:09:05.800]   or we even call it transformation, right?
[00:09:05.800 --> 00:09:08.520]   'Cause I'm reading really the two big blog posts you put out.
[00:09:08.520 --> 00:09:12.600]   What is like AI-native, almost like AI-native developer?
[00:09:12.600 --> 00:09:16.000]   And there's also like the cloud-native comparison.
[00:09:16.000 --> 00:09:20.000]   So maybe we'll start with the AI-native developer,
[00:09:20.000 --> 00:09:22.440]   sort of like transformation here.
[00:09:22.440 --> 00:09:24.520]   You put up a two-by-two matrix, right?
[00:09:24.520 --> 00:09:27.040]   Comparing like the existing tools
[00:09:27.040 --> 00:09:30.640]   and existing AI, almost products and tools
[00:09:30.640 --> 00:09:32.960]   and Tesla is on the far right.
[00:09:32.960 --> 00:09:37.520]   This new category that there's nobody else is there, right?
[00:09:37.520 --> 00:09:38.960]   Just, just you.
[00:09:38.960 --> 00:09:40.760]   And I think it's intriguing.
[00:09:40.760 --> 00:09:42.840]   Everybody read this will be super intriguing,
[00:09:42.840 --> 00:09:45.240]   including me and I'm sure Ian as well.
[00:09:45.240 --> 00:09:47.720]   And we really don't know what does that mean.
[00:09:47.720 --> 00:09:50.280]   Of course, I think you have, like it's just alluded to,
[00:09:50.280 --> 00:09:52.200]   you have strategies in your head.
[00:09:52.200 --> 00:09:53.960]   So maybe it can help normal
[00:09:53.960 --> 00:09:57.400]   and bystander developers like us.
[00:09:57.400 --> 00:09:59.800]   Can it help us maybe give us a little bit of mental picture?
[00:09:59.800 --> 00:10:03.360]   Okay, how did you, maybe can you quickly summarize
[00:10:03.360 --> 00:10:05.640]   that what this two-by-two is?
[00:10:05.640 --> 00:10:07.120]   'Cause I think a lot of people haven't really read
[00:10:07.120 --> 00:10:08.880]   that post perhaps, right?
[00:10:08.880 --> 00:10:10.360]   Well, how do you think about the world
[00:10:10.360 --> 00:10:15.360]   and give us maybe that somewhat of a hint of,
[00:10:15.360 --> 00:10:18.080]   okay, the current tools that is since
[00:10:18.080 --> 00:10:21.040]   the truly paradigm shift we're looking for,
[00:10:21.040 --> 00:10:22.760]   what could it be, right?
[00:10:22.760 --> 00:10:24.000]   Maybe we can start a little bit from that.
[00:10:24.000 --> 00:10:27.240]   But I think maybe you can kind of talk about this
[00:10:27.240 --> 00:10:29.080]   magical two-by-two-by-two-by-two.
[00:10:29.080 --> 00:10:32.000]   I think we'll be very on a good start here, yeah.
[00:10:32.000 --> 00:10:33.520]   So I will sort of say this two-by-two,
[00:10:33.520 --> 00:10:35.720]   and I published it under that title
[00:10:35.720 --> 00:10:37.680]   of charting your AI native journey.
[00:10:37.680 --> 00:10:40.520]   So AI native is dominant in its narrative.
[00:10:40.520 --> 00:10:42.640]   It's something that I've sort of been brewing
[00:10:42.640 --> 00:10:44.560]   on and evolving in my mind over the last really
[00:10:44.560 --> 00:10:46.840]   almost two years of exploring investments
[00:10:46.840 --> 00:10:49.880]   and thinking about ideas, then eventually a tessel.
[00:10:49.880 --> 00:10:51.080]   And of course, it's neat.
[00:10:51.080 --> 00:10:53.600]   There are many, many AI solutions out there.
[00:10:53.600 --> 00:10:55.400]   And indeed, some of them are short-term, long-term,
[00:10:55.400 --> 00:10:59.040]   and they oscillate between something that feels like,
[00:10:59.040 --> 00:11:00.960]   wouldn't this just be the next feature
[00:11:00.960 --> 00:11:03.000]   of open AI or anthropic or whatever?
[00:11:03.000 --> 00:11:04.600]   The things that feel like science fiction,
[00:11:04.600 --> 00:11:06.400]   it's like, no, this will never work.
[00:11:06.400 --> 00:11:07.880]   And so the attempt here with the two-by-two
[00:11:07.880 --> 00:11:10.200]   is to give us a little bit of a structure
[00:11:10.200 --> 00:11:12.880]   to place companies or at least current offerings
[00:11:12.880 --> 00:11:14.200]   of companies within that.
[00:11:14.200 --> 00:11:16.040]   And so the two-by-two goes with two dimensions.
[00:11:16.040 --> 00:11:18.120]   One is a dimension of change.
[00:11:18.120 --> 00:11:21.120]   So how much does this new tool require me
[00:11:21.120 --> 00:11:23.560]   to change the way I work to use it?
[00:11:23.560 --> 00:11:25.680]   And then the second dimension is one of trust.
[00:11:25.680 --> 00:11:27.880]   It goes from attended to autonomous.
[00:11:27.880 --> 00:11:30.880]   How much do I need to trust it to get it right
[00:11:30.880 --> 00:11:32.640]   for it to be useful?
[00:11:32.640 --> 00:11:34.040]   So let's maybe look at some examples
[00:11:34.040 --> 00:11:36.680]   in the different quadrants here that this creates, right?
[00:11:36.680 --> 00:11:38.040]   If you draw it as a graph.
[00:11:38.040 --> 00:11:40.520]   On the bottom left, what you'll see is the low change,
[00:11:40.520 --> 00:11:42.120]   low trust environments.
[00:11:42.120 --> 00:11:45.080]   And those are tools that are very easy to sort of slap on.
[00:11:45.080 --> 00:11:47.520]   In the DevSpace, that might be code completion.
[00:11:47.520 --> 00:11:48.560]   You're already typing.
[00:11:48.560 --> 00:11:49.800]   Whether you're literally already typing.
[00:11:49.800 --> 00:11:51.600]   In fact, you're already familiar to autocompletion
[00:11:51.600 --> 00:11:53.240]   because of IntelliSense and such.
[00:11:53.240 --> 00:11:55.200]   And so it's just a better autocomplete.
[00:11:55.200 --> 00:11:57.320]   You eyeball it, you say if it's correct or not,
[00:11:57.320 --> 00:11:58.200]   you just continue.
[00:11:58.200 --> 00:11:59.520]   There's pros and cons to that.
[00:11:59.520 --> 00:12:02.480]   But still very easy, very low trust.
[00:12:02.480 --> 00:12:04.320]   Other domains, it might be something that points out
[00:12:04.320 --> 00:12:08.480]   the potential problem on an X-ray or that writes a quick SDR,
[00:12:08.480 --> 00:12:11.040]   like a cold outreach type email.
[00:12:11.040 --> 00:12:13.160]   All of these things are like they're small units.
[00:12:13.160 --> 00:12:15.080]   They are things you're already doing.
[00:12:15.080 --> 00:12:17.360]   And therefore, you're just gonna prompt it.
[00:12:17.360 --> 00:12:20.040]   This is the bottom left quadrant.
[00:12:20.040 --> 00:12:21.480]   It's kind of the low friction.
[00:12:21.480 --> 00:12:23.200]   Why wouldn't you use this?
[00:12:23.200 --> 00:12:24.320]   It needs to be useful.
[00:12:24.320 --> 00:12:26.200]   So like if it doesn't provide business value,
[00:12:26.200 --> 00:12:30.240]   if it doesn't work well enough, still worthless,
[00:12:30.240 --> 00:12:32.240]   if it does work, then why wouldn't use it, right?
[00:12:32.240 --> 00:12:33.520]   It just makes you better.
[00:12:33.520 --> 00:12:36.640]   That's the high adoption category as I see it.
[00:12:36.640 --> 00:12:38.560]   And it's massively, massively competitive.
[00:12:38.560 --> 00:12:40.440]   That's really where you would see
[00:12:40.440 --> 00:12:42.320]   how is one coding assistant better
[00:12:42.320 --> 00:12:43.440]   than the other coding assistant?
[00:12:43.440 --> 00:12:44.760]   Like you're gonna have a million of them.
[00:12:44.760 --> 00:12:47.960]   How is one tool that creates tests for me
[00:12:47.960 --> 00:12:49.880]   or that captures the documentation?
[00:12:49.880 --> 00:12:51.880]   Or like, oh, these things, like how is one different?
[00:12:51.880 --> 00:12:54.440]   It's oftentimes hard because they don't really invent
[00:12:54.440 --> 00:12:55.280]   any new methodology.
[00:12:55.280 --> 00:12:56.720]   They're just doing legwork.
[00:12:56.720 --> 00:12:58.200]   And they're doing legwork in small units,
[00:12:58.200 --> 00:12:59.560]   so you can review them.
[00:12:59.560 --> 00:13:00.640]   So that's sort of the bottom left.
[00:13:00.640 --> 00:13:02.960]   If you go up the trust route,
[00:13:02.960 --> 00:13:05.080]   that's really an IP evolution.
[00:13:05.080 --> 00:13:07.000]   It goes from attendant to autonomous.
[00:13:07.000 --> 00:13:08.760]   First maybe examples of like what needs
[00:13:08.760 --> 00:13:09.760]   to show up over there.
[00:13:09.760 --> 00:13:14.360]   So for example, Intercom have been their support chatbot.
[00:13:14.360 --> 00:13:16.840]   And Finn tries to resolve tickets
[00:13:16.840 --> 00:13:19.720]   when someone approaches a company autonomously.
[00:13:19.720 --> 00:13:21.960]   If a human has to review every response
[00:13:21.960 --> 00:13:23.880]   that Finn provides to confirm
[00:13:23.880 --> 00:13:25.080]   that it doesn't hallucinate anything,
[00:13:25.080 --> 00:13:26.920]   the product would be useless.
[00:13:26.920 --> 00:13:28.520]   So you have to trust that it gets it right for you
[00:13:28.520 --> 00:13:29.520]   to be useful.
[00:13:29.520 --> 00:13:32.880]   Even more extreme version of that is Robotaxes.
[00:13:32.880 --> 00:13:34.720]   Like they actually very little change.
[00:13:34.720 --> 00:13:35.560]   Nothing changed.
[00:13:35.560 --> 00:13:37.240]   You're still interacting, as you before,
[00:13:37.240 --> 00:13:41.080]   interacted with someone on a chat support conversation.
[00:13:41.080 --> 00:13:43.160]   Here in Robotaxes, you might open your Uber
[00:13:43.160 --> 00:13:45.560]   and order a taxi and get in the car
[00:13:45.560 --> 00:13:47.160]   and get dropped off elsewhere.
[00:13:47.160 --> 00:13:50.040]   But might be the high trust that you need
[00:13:50.040 --> 00:13:51.520]   to be able to do this.
[00:13:51.520 --> 00:13:53.040]   So that's kind of up the trust route.
[00:13:53.040 --> 00:13:54.080]   In development world,
[00:13:54.080 --> 00:13:57.520]   that's a lot about this autonomous development world.
[00:13:57.520 --> 00:13:58.960]   And I think it hasn't been cracked.
[00:13:58.960 --> 00:14:01.240]   And that's a lot of what I think the sort of the magic devs
[00:14:01.240 --> 00:14:04.560]   or the others like at least from outside statements
[00:14:04.560 --> 00:14:05.400]   are trying to crack.
[00:14:05.400 --> 00:14:07.760]   It's like, I will just resolve this for you.
[00:14:07.760 --> 00:14:10.160]   And it's worth realizing or sort of highlighting
[00:14:10.160 --> 00:14:14.520]   that there's an element of the magnitude of task involved
[00:14:14.520 --> 00:14:15.760]   in that trust element, right?
[00:14:15.760 --> 00:14:17.160]   So if you're writing the next line of code,
[00:14:17.160 --> 00:14:19.360]   I can review it every single line.
[00:14:19.360 --> 00:14:21.440]   But if you are writing full applications,
[00:14:21.440 --> 00:14:23.120]   I can't review them every time.
[00:14:23.120 --> 00:14:25.520]   So for you to be useful to me,
[00:14:25.520 --> 00:14:28.720]   I need to trust that it works.
[00:14:28.720 --> 00:14:29.960]   And if not, then it just,
[00:14:29.960 --> 00:14:32.600]   it doesn't serve the use case you're trying to get me
[00:14:32.600 --> 00:14:33.840]   to believe that it does, right?
[00:14:33.840 --> 00:14:36.160]   Or a lot of workflow creations.
[00:14:36.160 --> 00:14:39.240]   So I think a lot of these like autonomous AI engineer,
[00:14:39.240 --> 00:14:42.360]   right, whatever AI engineer is now loaded,
[00:14:42.360 --> 00:14:46.280]   an ambiguous term right by the agent engineer.
[00:14:46.280 --> 00:14:49.840]   A lot of those are really up the trust axis
[00:14:49.840 --> 00:14:52.400]   and because they're trying to do things more autonomously.
[00:14:52.400 --> 00:14:54.840]   And I'll say again that this is an IP game.
[00:14:54.840 --> 00:14:56.320]   And so if you were a company
[00:14:56.320 --> 00:14:57.360]   and you're trying to build over there,
[00:14:57.360 --> 00:14:59.720]   it's because you believe that there is an IP mode
[00:14:59.720 --> 00:15:01.480]   that is really hard to replicate.
[00:15:01.480 --> 00:15:04.040]   And I think in general now versus two years ago,
[00:15:04.040 --> 00:15:06.800]   I think conviction that you can have a true IP mode
[00:15:06.800 --> 00:15:09.320]   in AI implementations is different.
[00:15:09.320 --> 00:15:10.160]   I think two years ago,
[00:15:10.160 --> 00:15:11.200]   you might think that people are,
[00:15:11.200 --> 00:15:13.200]   they can really be ahead of the game.
[00:15:13.200 --> 00:15:15.280]   And now you see that every time someone is ahead,
[00:15:15.280 --> 00:15:17.920]   they're just three months ahead or six months ahead.
[00:15:17.920 --> 00:15:20.000]   But you still hear like you hear a cursor, for instance,
[00:15:20.000 --> 00:15:22.000]   which is a different type of company,
[00:15:22.000 --> 00:15:25.320]   talking about how all they need to be is ahead
[00:15:25.320 --> 00:15:28.120]   on the next free podcast by a few months
