
[00:00:00.000 --> 00:00:02.400]   (upbeat music)
[00:02:32.520 --> 00:02:35.360]   Like what got you excited and what got you going?
[00:02:35.360 --> 00:02:38.360]   - That's a great question, you know?
[00:02:38.360 --> 00:02:41.320]   So pretty much as soon as I joined Uber,
[00:02:41.320 --> 00:02:45.840]   the company decided to go all in on schema-driven development.
[00:02:45.840 --> 00:02:50.840]   And it was shaped much like most companies are today.
[00:02:50.840 --> 00:02:53.880]   I joined like right after New Year's,
[00:02:53.880 --> 00:02:55.560]   so the very beginning of 2015.
[00:02:55.560 --> 00:03:01.360]   And that was a pretty foamy, like enthusiastic time
[00:03:01.360 --> 00:03:02.640]   for microservices.
[00:03:02.640 --> 00:03:04.760]   But directionally, I don't think much has changed.
[00:03:04.760 --> 00:03:06.040]   So you have a bunch of developers,
[00:03:06.040 --> 00:03:10.000]   everybody's shipping code from their own repository,
[00:03:10.000 --> 00:03:11.960]   like their own Git repository,
[00:03:11.960 --> 00:03:16.520]   usually their choice of language and framework.
[00:03:16.520 --> 00:03:18.560]   And then the idea is that all these services
[00:03:18.560 --> 00:03:20.440]   kind of talk to each other over the network,
[00:03:20.440 --> 00:03:22.920]   and they pass messages over some queue.
[00:03:23.800 --> 00:03:27.000]   And we want to make all of that schema first.
[00:03:27.000 --> 00:03:29.880]   And the idea there is you get this layer of safety
[00:03:29.880 --> 00:03:33.000]   and policy control over all of your systems.
[00:03:33.000 --> 00:03:36.680]   So everybody knows what are the inputs and outputs
[00:03:36.680 --> 00:03:39.280]   of these functions we're calling over the network,
[00:03:39.280 --> 00:03:42.360]   exactly what is inside of this Kafka topic.
[00:03:42.360 --> 00:03:45.480]   It's not just some like garbage pile of JSON.
[00:03:45.480 --> 00:03:47.240]   And that all should be like self-documenting,
[00:03:47.240 --> 00:03:49.880]   self-enforcing, and then you get some efficiency benefits
[00:03:49.880 --> 00:03:51.320]   out the topic.
[00:03:51.320 --> 00:03:54.520]   In practice, what you don't know with is just
[00:03:54.520 --> 00:03:59.120]   the system that's designed in individual tiny pieces
[00:03:59.120 --> 00:04:02.800]   that in theory are like nicely factored layers,
[00:04:02.800 --> 00:04:04.800]   but in practice is just a mess.
[00:04:04.800 --> 00:04:07.840]   Like somebody needs to go and spend
[00:04:07.840 --> 00:04:12.560]   what ended up being many, many, many millions of dollars
[00:04:12.560 --> 00:04:14.600]   in headcount and infrastructure
[00:04:14.600 --> 00:04:16.840]   to actually assemble this stuff
[00:04:16.840 --> 00:04:19.880]   into a platform that works end to end.
[00:04:19.880 --> 00:04:23.440]   And this goes from the most trivial problems
[00:04:23.440 --> 00:04:28.320]   to these kind of gigantic data infrastructure problems.
[00:04:28.320 --> 00:04:31.120]   So on the trivial side, anyone you talk to you
[00:04:31.120 --> 00:04:35.280]   about thrift or perturbuff or like JSON schema,
[00:04:35.280 --> 00:04:36.760]   they'll tell you that one of the benefits
[00:04:36.760 --> 00:04:41.760]   is that you can identify ahead of time using the schema
[00:04:41.760 --> 00:04:46.120]   when a given change is gonna break backward compatibility.
[00:04:47.040 --> 00:04:49.880]   So like, oh, I can look at the pull request
[00:04:49.880 --> 00:04:51.400]   and tell you like, you shouldn't do this.
[00:04:51.400 --> 00:04:53.360]   This is gonna break all your existing colors
[00:04:53.360 --> 00:04:56.600]   or it's gonna break all the existing consumers of this data.
[00:04:56.600 --> 00:04:58.440]   And in theory, that's true.
[00:04:58.440 --> 00:05:00.320]   But then if you dig one step deep and you're like,
[00:05:00.320 --> 00:05:02.200]   okay, how do we do this?
[00:05:02.200 --> 00:05:03.440]   You know, like, yeah, you just read,
[00:05:03.440 --> 00:05:05.400]   you just read the PR very, very carefully
[00:05:05.400 --> 00:05:07.120]   and think hard about it.
[00:05:07.120 --> 00:05:09.520]   Like this is a garbage answer.
[00:05:09.520 --> 00:05:12.080]   There are no tools to do this
[00:05:12.080 --> 00:05:13.480]   and you have to build the tools.
[00:05:13.480 --> 00:05:15.640]   And to build the tools, sometimes you have to build
[00:05:15.640 --> 00:05:18.320]   a parser or a compiler for the schema language
[00:05:18.320 --> 00:05:21.240]   because the existing one just doesn't expose the APIs
[00:05:21.240 --> 00:05:22.800]   needed to do this.
[00:05:22.800 --> 00:05:25.120]   And so we kind of carefully and laboriously solve
[00:05:25.120 --> 00:05:27.880]   this problem in all of the follow-on problems.
[00:05:27.880 --> 00:05:30.280]   How do you get the schemas from one repo to another?
[00:05:30.280 --> 00:05:32.280]   What does dependency management look like?
[00:05:32.280 --> 00:05:34.520]   How do you package them up and move them around?
[00:05:34.520 --> 00:05:36.480]   How do you access the schema at runtime
[00:05:36.480 --> 00:05:39.720]   if I wanna do some dynamic schema-driven thing?
[00:05:39.720 --> 00:05:42.760]   How do I attack extra policy information onto the schema?
[00:05:42.760 --> 00:05:44.560]   Like, who's allowed to call this API
[00:05:44.560 --> 00:05:47.000]   or is this fit for public consumption?
[00:05:47.000 --> 00:05:50.480]   Or if I'm an engineer debugging this topic,
[00:05:50.480 --> 00:05:52.240]   am I allowed to see this information?
[00:05:52.240 --> 00:05:55.400]   Or is it privileged and sensitive and can't,
[00:05:55.400 --> 00:05:58.600]   cannot exit production onto my laptop?
[00:05:58.600 --> 00:06:01.800]   All of that was so laborious to do.
[00:06:01.800 --> 00:06:06.560]   And it's funded the way all internal info was funded,
[00:06:06.560 --> 00:06:09.920]   which is you get it to like just good enough.
[00:06:09.920 --> 00:06:12.000]   And then all these expensive engineers get allocated
[00:06:12.000 --> 00:06:12.840]   onto some problem.
[00:06:12.840 --> 00:06:15.720]   That's like the new priority of the year.
[00:06:15.720 --> 00:06:19.640]   And I really wanted to come and solve that problem
[00:06:19.640 --> 00:06:22.000]   once and for all, for everyone.
[00:06:22.000 --> 00:06:27.840]   And I wanted a cohesive platform that forever and more
[00:06:27.840 --> 00:06:31.920]   when I got tapped as the part of our person
[00:06:31.920 --> 00:06:34.840]   or the RPC person or the Kafka person,
[00:06:34.840 --> 00:06:36.760]   I could just point people and say,
[00:06:36.760 --> 00:06:39.920]   my answer is that you should buy or build exactly that.
[00:06:39.920 --> 00:06:42.120]   That is the way to do it and to end.
[00:06:42.120 --> 00:06:46.600]   - So one of the things at the beginning of your explanation
[00:06:46.600 --> 00:06:49.360]   was like as soon as you got to Uber,
[00:06:49.360 --> 00:06:50.880]   they decided to go schema first.
[00:06:50.880 --> 00:06:53.360]   I think that they're not uninformed.
[00:06:53.360 --> 00:06:56.160]   Anyone who's operated, you know, an at scale data system
[00:06:56.160 --> 00:06:58.640]   that is real time operational, right?
[00:06:58.640 --> 00:07:00.120]   Uber's an operational data use case
[00:07:00.120 --> 00:07:02.080]   'cause you're trying to price rides
[00:07:02.080 --> 00:07:04.280]   and do all this stuff stuff in real time
[00:07:04.280 --> 00:07:06.080]   as the world changes around it.
[00:07:06.080 --> 00:07:08.560]   Like what were the pain points that led us to,
[00:07:08.560 --> 00:07:09.880]   oh, we got to be schema first.
[00:07:09.880 --> 00:07:12.600]   So this probably actually a standard far beyond the operational side.
[00:07:12.600 --> 00:07:14.720]   It went into the analytics side of things too.
[00:07:14.720 --> 00:07:16.120]   And that's actually the angle
[00:07:16.120 --> 00:07:18.640]   that I joined the company focused on, right?
[00:07:18.640 --> 00:07:21.040]   'Cause I joined the data engineering team
[00:07:21.040 --> 00:07:23.200]   and you have to kind of rewind the clock, right?
[00:07:23.200 --> 00:07:26.400]   So it's now the very, very beginning of 2015
[00:07:26.400 --> 00:07:30.120]   and what is the overall engineering zeitgeist?
[00:07:30.120 --> 00:07:32.360]   You know, if you went back to the way back machine
[00:07:32.360 --> 00:07:34.200]   and sampled the front page of Hacker News,
[00:07:34.200 --> 00:07:36.880]   what would you be seeing at that time?
[00:07:36.880 --> 00:07:39.240]   And my recollection of the world at that time
[00:07:39.240 --> 00:07:42.360]   was that we were still on the upswing
[00:07:42.360 --> 00:07:47.360]   of everyone's enthusiasm about AP systems instead of CP.
[00:07:47.360 --> 00:07:52.640]   We're on the upswing of Cassandra style key value stores.
[00:07:52.640 --> 00:07:56.560]   We're on the upswing of interest in CRDTs
[00:07:56.560 --> 00:08:00.120]   and exposing consistency constraints
[00:08:00.120 --> 00:08:01.920]   to application developers.
[00:08:01.920 --> 00:08:05.000]   We're very definitely on the upswing of interest
[00:08:05.000 --> 00:08:06.920]   in microservices
[00:08:06.920 --> 00:08:09.720]   and having a company build a product
[00:08:09.720 --> 00:08:12.360]   as a bunch of small binaries
[00:08:12.360 --> 00:08:13.880]   that communicate with each other
[00:08:13.880 --> 00:08:16.200]   in a pretty chatty way over the network.
[00:08:16.200 --> 00:08:19.600]   Cooper News did not yet really exist the way it does today.
[00:08:19.600 --> 00:08:21.840]   The closest was Mesos,
[00:08:21.840 --> 00:08:24.880]   which was roughly being commercialized by Mesosphere,
[00:08:24.880 --> 00:08:28.480]   but like the primitives we depend on today just didn't exist.
[00:08:28.480 --> 00:08:30.360]   And so what did Uber have?
[00:08:30.360 --> 00:08:34.800]   Uber had a pretty large pool of hosts
[00:08:34.800 --> 00:08:38.600]   that we were physically racking in data centers
[00:08:38.600 --> 00:08:40.920]   and managing with puppet.
[00:08:40.920 --> 00:08:45.040]   And what the company would do is it would ask every team
[00:08:45.040 --> 00:08:47.080]   that wanted to ship a new service
[00:08:47.080 --> 00:08:51.200]   to go add a little bit of data to the puppet run
[00:08:51.200 --> 00:08:52.760]   to define what the service was,
[00:08:52.760 --> 00:08:54.480]   where it was gonna run,
[00:08:54.480 --> 00:08:56.120]   what port it was gonna be available on,
[00:08:56.120 --> 00:08:58.840]   everything was restful-ish.
[00:08:58.840 --> 00:09:02.760]   And then that focus on like loosely structured JSON
[00:09:02.760 --> 00:09:05.560]   kind of came out of a development culture
[00:09:05.560 --> 00:09:07.920]   that used a lot of node and Python.
[00:09:07.920 --> 00:09:11.000]   So that was a pretty comfortable world to live in.
[00:09:11.000 --> 00:09:14.280]   And then that data would go into often Kafka
[00:09:14.280 --> 00:09:17.360]   or some not Kafka system
[00:09:17.360 --> 00:09:20.080]   'cause Kafka was also pretty new at the time.
[00:09:20.080 --> 00:09:21.840]   It would pop out the other end
[00:09:21.840 --> 00:09:24.160]   and it would be processed often
[00:09:24.160 --> 00:09:26.640]   in some sort of like complicated ad hoc way
[00:09:26.640 --> 00:09:29.240]   that depended on treating all the data
[00:09:29.240 --> 00:09:31.300]   just as a dictionary full of stuff.
[00:09:32.240 --> 00:09:34.440]   I mean, this led to all the problems that you might expect.
[00:09:34.440 --> 00:09:36.640]   It's incredibly error prone.
[00:09:36.640 --> 00:09:38.080]   It's very, very difficult to reason
[00:09:38.080 --> 00:09:40.480]   about the blast radius of a change.
[00:09:40.480 --> 00:09:42.440]   So you're a hapless developer
[00:09:42.440 --> 00:09:43.960]   who's trying to change something
[00:09:43.960 --> 00:09:47.560]   and you just can't really tell what's gonna break.
[00:09:47.560 --> 00:09:49.400]   It was really difficult to reason
[00:09:49.400 --> 00:09:53.320]   about consistency and correctness over time
[00:09:53.320 --> 00:09:55.280]   because it was very difficult to understand
[00:09:55.280 --> 00:09:59.600]   when and how might somebody access old data
[00:09:59.600 --> 00:10:02.960]   that's using a schema that's implicit in application code
[00:10:02.960 --> 00:10:05.200]   that's from a year ago, right?
[00:10:05.200 --> 00:10:08.880]   And this just led to this like constant stream
[00:10:08.880 --> 00:10:12.640]   of small outages and brownouts and fire drills
[00:10:12.640 --> 00:10:15.080]   that was really difficult to cope with.
[00:10:15.080 --> 00:10:17.720]   It also in general made it very difficult for teams
[00:10:17.720 --> 00:10:19.280]   to communicate with each other.
[00:10:19.280 --> 00:10:21.760]   It was a constant efficiency tax.
[00:10:21.760 --> 00:10:24.240]   JSON's just expensive.
[00:10:24.240 --> 00:10:27.360]   The team before I joined did a whole bake off of options.
[00:10:27.360 --> 00:10:31.000]   And so they were looking at the open API world
[00:10:31.000 --> 00:10:35.520]   at RAML at a variety of schema technologies.
[00:10:35.520 --> 00:10:38.880]   And the one they settled on at the time was thrift.
[00:10:38.880 --> 00:10:40.160]   Part of off was open source,
[00:10:40.160 --> 00:10:43.400]   but JRPC didn't exist yet in the outside world.
[00:10:43.400 --> 00:10:45.320]   And so thrift was the only place you could go
[00:10:45.320 --> 00:10:48.520]   to get a schema language,
[00:10:48.520 --> 00:10:52.680]   a serialization format and an RPC framework out of the box.
[00:10:52.680 --> 00:10:56.120]   Very quickly Uber abandoned that RPC framework
[00:10:56.120 --> 00:10:58.320]   and built its own network transport.
[00:10:58.320 --> 00:11:02.360]   And then in a sad pivot,
[00:11:02.360 --> 00:11:03.480]   the data ecosystem was like,
[00:11:03.480 --> 00:11:05.160]   oh god, this thrift thing's never gonna work for us.
[00:11:05.160 --> 00:11:07.000]   We're gonna use Avro instead.
[00:11:07.000 --> 00:11:08.440]   So in the worst of all worlds,
[00:11:08.440 --> 00:11:10.520]   we settled on two of the possible options
[00:11:10.520 --> 00:11:11.840]   and then spent a bunch of time
[00:11:11.840 --> 00:11:13.920]   building elaborate interrupt between them.
[00:11:13.920 --> 00:11:17.760]   - It's so fun to get to mention thrift and mesosphere.
[00:11:17.760 --> 00:11:20.440]   I guess I'll bring back all the old memories here.
[00:11:20.440 --> 00:11:25.120]   I feel like we have been running into this problem forever,
[00:11:25.120 --> 00:11:28.080]   but maybe the complexity of microservices,
[00:11:28.080 --> 00:11:29.960]   maybe the pace of changes.
[00:11:29.960 --> 00:11:32.080]   And now we're actually, you're going into data, right?
[00:11:32.080 --> 00:11:34.880]   This thing, we have been,
[00:11:34.880 --> 00:11:36.960]   I think the Hadoop Ecosystem have the Avro.
[00:11:36.960 --> 00:11:40.440]   There's had things have been in a sort of different ecosystems
[00:11:40.440 --> 00:11:43.040]   with their different formats and different tools.
[00:11:43.040 --> 00:11:44.720]   And they're both growing complexity.
[00:11:44.720 --> 00:11:46.320]   I feel like data is probably way more now
[00:11:46.320 --> 00:11:47.640]   than the microservice,
[00:11:47.640 --> 00:11:50.400]   I think just given like the complexity here.
[00:11:50.400 --> 00:11:53.320]   And what has been like very intrigued is,
[00:11:53.320 --> 00:11:57.120]   I feel like since buff is really talking about protobuf
[00:11:57.120 --> 00:11:59.840]   as the standard format for all,
[00:11:59.840 --> 00:12:03.320]   is there any challenge or driving force
[00:12:03.320 --> 00:12:06.440]   of why people should use the same format every, you know,
[00:12:06.440 --> 00:12:07.800]   like a protobuf to drive really?
[00:12:07.800 --> 00:12:10.920]   Because I think the fundamental belief here is protobuf
[00:12:10.920 --> 00:12:12.600]   is the center of everything.
[00:12:12.600 --> 00:12:14.920]   And sort of buff creates all the toolings
[00:12:14.920 --> 00:12:16.600]   and products necessary towards it.
[00:12:16.600 --> 00:12:18.120]   But I want to just kind of start there.
[00:12:18.120 --> 00:12:22.760]   Like what is driving motivation
[00:12:22.760 --> 00:12:24.800]   for things you're seeing people to start to like,
[00:12:24.800 --> 00:12:27.120]   you know what, that's not used five things,
[00:12:27.120 --> 00:12:28.440]   you know, four different formats.
[00:12:28.440 --> 00:12:31.920]   And like, we got to adopt one thing and it's protobuf.
[00:12:31.920 --> 00:12:33.280]   Can you tell us more like how it is?
[00:12:33.280 --> 00:12:35.040]   - Yeah, for sure.
[00:12:35.040 --> 00:12:38.120]   There are two kind of altitudes
[00:12:38.120 --> 00:12:40.120]   that you can talk about a problem like that, right?
[00:12:40.120 --> 00:12:42.840]   One of them is kind of an organizational altitude.
[00:12:42.840 --> 00:12:44.560]   What are the benefits of having one thing
[00:12:44.560 --> 00:12:46.640]   instead of two or three or four?
[00:12:46.640 --> 00:12:48.320]   And what are the characteristics
[00:12:48.320 --> 00:12:50.800]   of the one schema language and data format
[00:12:50.800 --> 00:12:52.640]   that you might want?
[00:12:52.640 --> 00:12:55.840]   And then on a more like granular in the weeds level,
[00:12:55.840 --> 00:12:58.920]   it's like, okay, we can compare and contrast protobuf
[00:12:58.920 --> 00:13:02.360]   with Avro or with Thrift or with Jason.
[00:13:02.360 --> 00:13:04.400]   At a high level for an organization,
[00:13:04.400 --> 00:13:06.200]   I think you want a couple of things
[00:13:06.200 --> 00:13:08.560]   out of a schema language, ideally.
[00:13:08.560 --> 00:13:10.880]   You want to be able to use this schema language
[00:13:10.880 --> 00:13:15.640]   in a couple of different arenas pretty seamlessly.
[00:13:15.640 --> 00:13:17.160]   And if you're talking about
[00:13:17.160 --> 00:13:20.200]   your modern cloud native organization,
[00:13:20.200 --> 00:13:23.320]   that means you want to model your business
[00:13:23.320 --> 00:13:28.320]   all the way from RPCs down to tables in your lake house
[00:13:28.320 --> 00:13:31.640]   using a common language.
[00:13:31.640 --> 00:13:33.720]   And what that gives you is it gives you the ability
[00:13:33.720 --> 00:13:38.080]   to standardize on definitions of common business entities,
[00:13:38.080 --> 00:13:39.920]   at least in a bounded domain
[00:13:39.920 --> 00:13:42.680]   and pass them along very easily from one system
[00:13:42.680 --> 00:13:46.320]   to another without a translation stack
[00:13:46.320 --> 00:13:49.960]   that jumps through a bunch of arbitrary application code.
[00:13:49.960 --> 00:13:51.600]   Once you have that,
[00:13:51.600 --> 00:13:55.280]   that is a really interesting point of leverage
[00:13:55.280 --> 00:13:57.480]   over a bunch of problems.
[00:13:57.480 --> 00:14:01.080]   So now, because you're using one system throughout,
[00:14:01.080 --> 00:14:03.960]   you can actually, from a technical
[00:14:03.960 --> 00:14:05.600]   and a process perspective,
[00:14:05.600 --> 00:14:09.280]   start imposing some control on change safety.
[00:14:09.280 --> 00:14:11.240]   So backwards compatibility.
[00:14:11.240 --> 00:14:15.120]   You can start imposing some like best practices
[00:14:15.120 --> 00:14:18.200]   around how the schemas ought to be shaped.
[00:14:18.200 --> 00:14:20.560]   And what sort of data you need to attach to the schema
[00:14:20.560 --> 00:14:23.040]   to make it useful to consumers?
[00:14:23.040 --> 00:14:26.040]   You can also start attaching policy information
[00:14:26.040 --> 00:14:28.240]   in a way that's really powerful.
[00:14:28.240 --> 00:14:33.240]   So for example, you can say that a user has a profile
[00:14:33.240 --> 00:14:36.120]   and the profile has an email address.
[00:14:36.120 --> 00:14:38.320]   But this email address in this schema,
[00:14:38.320 --> 00:14:41.560]   you can mark it as protected information.
[00:14:41.560 --> 00:14:43.560]   And you can say that it's not just a string,
[00:14:43.560 --> 00:14:45.360]   it's actually an email address.
[00:14:45.360 --> 00:14:48.360]   And in our system, by entering this email address,
[00:14:48.360 --> 00:14:51.200]   the user has only consented to communication
[00:14:51.200 --> 00:14:53.320]   about like billing related events.
[00:14:53.320 --> 00:14:55.480]   You may not use this for marketing.
[00:14:55.480 --> 00:14:57.240]   And then you can build infrastructure
[00:14:57.240 --> 00:15:00.360]   that enforces that all the way down.
[00:15:00.360 --> 00:15:02.320]   So look, when you show up to read this data
[00:15:02.320 --> 00:15:04.520]   or when you show up to make an RPC,
[00:15:04.520 --> 00:15:07.640]   you must inform the server or the queue
[00:15:07.640 --> 00:15:10.040]   what you're doing with the data, right?
[00:15:10.040 --> 00:15:11.880]   Are you here for marketing?
[00:15:11.880 --> 00:15:16.040]   Are you here for billing? Are you here to train an LLM?
[00:15:16.040 --> 00:15:18.480]   And then you only receive the data
[00:15:18.480 --> 00:15:20.640]   that's greenlit for that purpose.
[00:15:20.640 --> 00:15:23.160]   And that's the kind of capability
[00:15:23.160 --> 00:15:26.240]   that it's really an end-to-end capability
[00:15:26.240 --> 00:15:27.840]   of the architecture.
[00:15:27.840 --> 00:15:30.880]   But it's really powerful for an organization
[00:15:30.880 --> 00:15:33.120]   because it lets you take those problems
[00:15:33.120 --> 00:15:36.160]   and push them down into your infrastructure
[00:15:36.160 --> 00:15:38.400]   instead of taking a TPM
[00:15:38.400 --> 00:15:39.920]   and handing them Google spreadsheets
[00:15:39.920 --> 00:15:43.000]   and being like, please go victimize individual engineers
[00:15:43.000 --> 00:15:45.680]   until the checklist has been checked.
[00:15:45.680 --> 00:15:48.000]   Like, you tell me how many orders it's gonna take
[00:15:48.000 --> 00:15:51.280]   to harass everybody into installing whatever
[00:15:51.280 --> 00:15:53.680]   bespoke libraries we've done for this
[00:15:53.680 --> 00:15:55.840]   and updating them and whatever.
[00:15:55.840 --> 00:15:58.280]   Nobody likes that, it's expensive, it's inefficient,
[00:15:58.280 --> 00:16:01.120]   it's painful, it has a bunch of holes in it.
[00:16:01.120 --> 00:16:03.240]   You wanna take that and you wanna make that
[00:16:03.240 --> 00:16:05.720]   a characteristic of your data platform.
[00:16:05.720 --> 00:16:07.920]   And this, I think, is we're a protobuf shuttle.
[00:16:09.320 --> 00:16:12.680]   It's paired often with gRPC,
[00:16:12.680 --> 00:16:14.800]   which is available in a million languages
[00:16:14.800 --> 00:16:17.840]   is kind of a widely used standard, right?
[00:16:17.840 --> 00:16:19.360]   So if you're doing microservices
[00:16:19.360 --> 00:16:21.400]   and you have schemas today,
[00:16:21.400 --> 00:16:23.440]   chances are you're doing gRPC.
[00:16:23.440 --> 00:16:25.400]   You can then take those protobuf schemas
[00:16:25.400 --> 00:16:30.400]   and this huge, like, relatively quiet group of companies
[00:16:30.400 --> 00:16:35.080]   uses protobuf all the way from gRPC down into Kafka.
[00:16:35.080 --> 00:16:38.000]   Historically, one of the kind of misconceptions
[00:16:38.000 --> 00:16:41.640]   about protobuf is that you must generate code ahead of time
[00:16:41.640 --> 00:16:44.640]   and you cannot use protobuf the way you use Avro
[00:16:44.640 --> 00:16:47.800]   with a schema registry and a bunch of dynamic message work.
[00:16:47.800 --> 00:16:50.760]   You can, it's just that it wasn't a schema registry
[00:16:50.760 --> 00:16:51.920]   available to you.
[00:16:51.920 --> 00:16:53.240]   Now, there is.
[00:16:53.240 --> 00:16:56.160]   And once you get out of Kafka and you're over in Batchland,
[00:16:56.160 --> 00:16:58.800]   like, nobody's really doing Avro anyways, right?
[00:16:58.800 --> 00:17:00.160]   Everything's in Parquet.
[00:17:00.160 --> 00:17:02.480]   The Parquet files are self-describing.
[00:17:02.480 --> 00:17:05.520]   Avro was just an incidental detail of your row format
[00:17:05.520 --> 00:17:07.040]   along the way.
[00:17:07.040 --> 00:17:08.880]   Easy peasy, right?
[00:17:08.880 --> 00:17:09.920]   Yeah.
[00:17:09.920 --> 00:17:12.920]   So I guess, I think you're talking about like,
[00:17:12.920 --> 00:17:14.600]   when we all consolidate,
[00:17:14.600 --> 00:17:17.480]   there's just so much more things you can actually do
[00:17:17.480 --> 00:17:21.080]   and just prevent and empower and all the policies.
[00:17:21.080 --> 00:17:22.560]   That's really, really interesting.
[00:17:22.560 --> 00:17:24.520]   I actually very curious because I think,
[00:17:24.520 --> 00:17:27.000]   when I think of protobuf and buff, I think a gRPC,
[00:17:27.000 --> 00:17:28.720]   I think of microservices, API,
[00:17:28.720 --> 00:17:30.680]   all that stuff upfront as well
[00:17:30.680 --> 00:17:33.480]   because that's where the world has largely adopted this
[00:17:33.480 --> 00:17:35.240]   at that place.
[00:17:35.240 --> 00:17:37.000]   And now you're into the data business now.
[00:17:37.000 --> 00:17:39.880]   Like, buff stream, I'm actually really curious, like,
[00:17:39.880 --> 00:17:44.240]   to me, I think buff stream is a really bold take, right?
[00:17:44.240 --> 00:17:45.240]   Because it's not just like,
[00:17:45.240 --> 00:17:49.160]   you're adding protobuf support to existing data stuff.
[00:17:49.160 --> 00:17:50.440]   You're actually like, you know what?
[00:17:50.440 --> 00:17:52.520]   Use us as a Kafka replacement, right?
[00:17:52.520 --> 00:17:54.400]   That's kind of how I read it.
[00:17:54.400 --> 00:17:57.040]   That's, I guess this is the question.
[00:17:57.040 --> 00:18:00.720]   Why did you choose this to be the first,
[00:18:00.720 --> 00:18:02.680]   not the first entry of the data product,
[00:18:02.680 --> 00:18:04.760]   but almost like the first major product
[00:18:04.760 --> 00:18:06.520]   you wanna go into the data side?
