
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:03:54.780 --> 00:03:57.660]   You know, it was such a great episode.
[00:03:57.660 --> 00:04:01.220]   It had a very specific view on the world
[00:04:01.220 --> 00:04:03.420]   and why the world should be the way that it is.
[00:04:03.420 --> 00:04:05.380]   And it was just one of the episodes
[00:04:05.380 --> 00:04:07.100]   where I got a lot of feedback from people who were like,
[00:04:07.100 --> 00:04:07.940]   "This is incredible."
[00:04:07.940 --> 00:04:09.260]   Like this guy gets it.
[00:04:09.260 --> 00:04:10.620]   It was so clearly delivered.
[00:04:10.620 --> 00:04:11.460]   It was interesting.
[00:04:11.460 --> 00:04:12.620]   It was intriguing.
[00:04:12.620 --> 00:04:14.220]   And I think what we've learned,
[00:04:14.220 --> 00:04:15.220]   and we were just going through
[00:04:15.220 --> 00:04:17.460]   what all did we even talk about this year,
[00:04:17.460 --> 00:04:19.140]   what we've learned is like the best guests
[00:04:19.140 --> 00:04:20.260]   and we said this on another episode.
[00:04:20.260 --> 00:04:21.700]   The best guests are ones that just come in
[00:04:21.700 --> 00:04:24.780]   with something that's really bold, opinionated,
[00:04:24.780 --> 00:04:28.500]   but backed up with experience and story, incredible data
[00:04:28.500 --> 00:04:29.660]   based on their experience
[00:04:29.660 --> 00:04:32.140]   about why they believe the future is the way that it should be.
[00:04:32.140 --> 00:04:35.260]   And so that's by far one of my most favorite moments.
[00:04:35.260 --> 00:04:37.100]   - I remember that episode is,
[00:04:37.100 --> 00:04:39.900]   he said this is very first time doing a podcast, right?
[00:04:39.900 --> 00:04:41.700]   - I don't actually believe that.
[00:04:41.700 --> 00:04:43.500]   - I was like, I never done a podcast before.
[00:04:43.500 --> 00:04:45.220]   I'm like, I can't tell, right?
[00:04:45.220 --> 00:04:49.340]   He was pretty poised and didn't really have any like retakes
[00:04:49.340 --> 00:04:50.260]   or edits needed.
[00:04:50.260 --> 00:04:52.020]   He just gone through it.
[00:04:52.020 --> 00:04:53.660]   I guess he's just a natural, right?
[00:04:53.660 --> 00:04:55.620]   No, rehearsing or practice needed at all
[00:04:55.620 --> 00:04:59.100]   to be a good podcast guest or host if you wanna do it.
[00:04:59.100 --> 00:05:00.540]   Anyway, he's amazing.
[00:05:00.540 --> 00:05:03.340]   I think people that really spend a lot of time
[00:05:03.340 --> 00:05:05.940]   digging into like deep-ended infrastructure.
[00:05:05.940 --> 00:05:08.380]   When you ask them questions that we're asking,
[00:05:08.380 --> 00:05:09.580]   they get more and more excited
[00:05:09.580 --> 00:05:11.300]   and easier to answer all this stuff
[00:05:11.300 --> 00:05:12.700]   that we're workers about to.
[00:05:12.700 --> 00:05:17.700]   So yeah, that's my memorable thing about that episode at least.
[00:05:18.620 --> 00:05:20.500]   - Should we dig into our takeaways?
[00:05:20.500 --> 00:05:23.380]   Like the non full stop, like prognosticating,
[00:05:23.380 --> 00:05:25.060]   how amazing we think our podcast is
[00:05:25.060 --> 00:05:26.500]   and start talking about what we think we learned
[00:05:26.500 --> 00:05:28.020]   or as we learned.
[00:05:28.020 --> 00:05:31.620]   - I guess we had to drop some stuff we learned, right?
[00:05:31.620 --> 00:05:32.620]   - Yeah.
[00:05:32.620 --> 00:05:34.140]   - So I'll start then, I'll start.
[00:05:34.140 --> 00:05:37.020]   So I think, you know, we're gonna each share two things, right?
[00:05:37.020 --> 00:05:40.100]   And I'll probably start with this first.
[00:05:40.100 --> 00:05:42.540]   I wanna leave probably the more interesting one
[00:05:42.540 --> 00:05:43.860]   and the later one.
[00:05:43.860 --> 00:05:45.740]   And it's not no surprise, right?
[00:05:45.740 --> 00:05:48.580]   Obviously the people we talked through this year,
[00:05:48.580 --> 00:05:51.860]   and even last year has been so much about the future
[00:05:51.860 --> 00:05:55.140]   of a data infrastructure around how S3
[00:05:55.140 --> 00:05:56.940]   is becoming so much of the standard place
[00:05:56.940 --> 00:05:58.660]   where all the data is stored.
[00:05:58.660 --> 00:05:59.780]   And so there's nothing new.
[00:05:59.780 --> 00:06:02.140]   We remember like, you know, this year,
[00:06:02.140 --> 00:06:05.580]   even talking to modal, you know, talking to LANs
[00:06:05.580 --> 00:06:08.620]   and obviously talking to Tigris data.
[00:06:08.620 --> 00:06:12.020]   Two years ago, we're talking to Warpstream, you know,
[00:06:12.020 --> 00:06:17.020]   CDRDB and we got Chris materialized view on all surrounded
[00:06:17.340 --> 00:06:21.860]   on the future of data is no longer,
[00:06:21.860 --> 00:06:26.340]   has to be stored in these separate databases and silo.
[00:06:26.340 --> 00:06:30.900]   We're gonna see data actually much, much more standardized
[00:06:30.900 --> 00:06:33.740]   in the cloud data lake themselves.
[00:06:33.740 --> 00:06:36.300]   And so the future of the data infrastructure
[00:06:36.300 --> 00:06:37.900]   is looking at all these companies.
[00:06:37.900 --> 00:06:40.780]   Like most of the computer doesn't really care where data is,
[00:06:40.780 --> 00:06:43.580]   but so much of the customers are directly going to S3.
[00:06:43.580 --> 00:06:46.940]   LANs is an S3 native data store, Warpstream,
[00:06:46.940 --> 00:06:48.260]   Tigris building a new S3.
[00:06:48.260 --> 00:06:50.140]   Like all this is just assuming.
[00:06:50.140 --> 00:06:52.140]   Next time I still need to use my data
[00:06:52.140 --> 00:06:56.980]   and I do like a export, postgres, whatever thingy
[00:06:56.980 --> 00:06:58.980]   to finally go to a Kafka, whatever.
[00:06:58.980 --> 00:07:00.940]   Like that whole world of like,
[00:07:00.940 --> 00:07:05.860]   I need thousands of ETL and Kafkas to do anything.
[00:07:05.860 --> 00:07:07.220]   It's probably changing.
[00:07:07.220 --> 00:07:09.940]   And it's quite cool to actually see
[00:07:09.940 --> 00:07:13.380]   that our guests is pretty much assumed it's gonna happen.
[00:07:13.380 --> 00:07:15.620]   If you wanna actually build a company in this space,
[00:07:15.620 --> 00:07:18.700]   you kinda have to be assuming certain things gonna happen
[00:07:18.700 --> 00:07:20.180]   and bet on them, right?
[00:07:20.180 --> 00:07:21.980]   Anyway, this is not even a new topic,
[00:07:21.980 --> 00:07:24.220]   but it's really cool to confirm
[00:07:24.220 --> 00:07:27.380]   people are now wanting data not to go everywhere.
[00:07:27.380 --> 00:07:30.060]   We wanted to have a much more simpler stack.
[00:07:30.060 --> 00:07:32.780]   The simpler stack requires, unfortunately,
[00:07:32.780 --> 00:07:33.860]   a new data infrastructure
[00:07:33.860 --> 00:07:38.300]   'cause all the older stuff can't go interoperable at all.
[00:07:38.300 --> 00:07:40.140]   So that's kinda fun for me.
[00:07:40.140 --> 00:07:40.980]   - It's super fun.
[00:07:40.980 --> 00:07:42.180]   I mean, it's fun for me too.
[00:07:42.180 --> 00:07:43.700]   I think one of the things that's cool
[00:07:43.700 --> 00:07:45.060]   is you kinda have like a prescription
[00:07:45.060 --> 00:07:47.580]   of how to actually build data infrastructure
[00:07:47.580 --> 00:07:51.180]   in a way that like customers will be capable of adopting it,
[00:07:51.180 --> 00:07:52.020]   right?
[00:07:52.020 --> 00:07:55.500]   Like even with Warpstream, Kafka compatible APIs and S3,
[00:07:55.500 --> 00:07:58.140]   there are starting to become recipes
[00:07:58.140 --> 00:08:00.500]   for what does it look like
[00:08:00.500 --> 00:08:02.500]   to build data infrastructure and sell it?
[00:08:02.500 --> 00:08:03.740]   You know, it's gotta be S3.
[00:08:03.740 --> 00:08:05.700]   The data plane has to be in their cloud.
[00:08:05.700 --> 00:08:07.300]   Then you have no site control pipeline.
[00:08:07.300 --> 00:08:10.180]   That's cool, but like a lot of these topics,
[00:08:10.180 --> 00:08:12.380]   it's becoming known whereas, you know,
[00:08:12.380 --> 00:08:15.340]   three, five years ago wasn't clear
[00:08:15.340 --> 00:08:16.980]   what was gonna work and what wasn't.
[00:08:16.980 --> 00:08:19.660]   Do you do SaaS first and have it all run inside yours, right?
[00:08:19.660 --> 00:08:21.900]   Like we're starting to get recipes at work,
[00:08:21.900 --> 00:08:24.700]   which means that like broadly the cloud is maturing.
[00:08:24.700 --> 00:08:25.940]   And you know, to be honest,
[00:08:25.940 --> 00:08:28.220]   kind of flows into my next topic,
[00:08:28.220 --> 00:08:31.420]   which is at the end of the day, my biggest takeaway,
[00:08:31.420 --> 00:08:33.140]   and this isn't directly from an episode,
[00:08:33.140 --> 00:08:35.580]   but it's something I've definitely like realized
[00:08:35.580 --> 00:08:38.140]   as a result of having all these different conversations,
[00:08:38.140 --> 00:08:41.940]   is that, you know, the moat that the major cloud vendors have,
[00:08:41.940 --> 00:08:45.340]   which is IAM and the VPC, it's eroding away.
[00:08:45.340 --> 00:08:47.660]   You know, they still got data egress fees for sure, right?
[00:08:47.660 --> 00:08:49.540]   So the data is gonna say in S3.
[00:08:49.540 --> 00:08:52.820]   But like the idea that IAM or the VPC locks you in
[00:08:52.820 --> 00:08:56.580]   to their cloud, which was their original real moat,
[00:08:56.580 --> 00:08:58.340]   in terms of, oh, you know, 'cause security was like,
[00:08:58.340 --> 00:08:59.940]   oh, it has to be an IAM, that's VPC,
[00:08:59.940 --> 00:09:01.380]   that's starting to fall apart.
[00:09:01.380 --> 00:09:03.300]   Because, you know, at the end of the day,
[00:09:03.300 --> 00:09:06.180]   some of these systems, you're giving cross access
[00:09:06.180 --> 00:09:08.940]   into your core systems, cross cloud account, right?
[00:09:08.940 --> 00:09:10.060]   So it's not holistically
[00:09:10.060 --> 00:09:11.500]   owned by your cloud account anymore.
[00:09:11.500 --> 00:09:13.940]   And sometimes those things are, you know,
[00:09:13.940 --> 00:09:17.100]   are runtimes that exist outside AWS or GCP.
[00:09:17.100 --> 00:09:18.380]   They're running on their own thing, right?
[00:09:18.380 --> 00:09:20.660]   We've seen the rise of vendors like Fly,
[00:09:20.660 --> 00:09:23.540]   things like Modal, which are like just absolute rocket ships.
[00:09:23.540 --> 00:09:25.580]   You know, Vercel is gonna be IPO-ing next year,
[00:09:25.580 --> 00:09:26.860]   another absolute rocket ship,
[00:09:26.860 --> 00:09:29.060]   all of that compute, all of that runtime,
[00:09:29.060 --> 00:09:32.140]   lives outside your IAM or your VPC.
[00:09:32.140 --> 00:09:33.900]   And these companies are starting to eat
[00:09:33.900 --> 00:09:35.660]   into the enterprise as well.
[00:09:35.660 --> 00:09:37.900]   And so a big takeaway for me was like,
[00:09:37.900 --> 00:09:40.220]   oh, actually, over the next three to five years,
[00:09:40.220 --> 00:09:41.740]   the way that we build and sell software,
[00:09:41.740 --> 00:09:45.020]   all the things that were like preventative earlier on
[00:09:45.020 --> 00:09:46.940]   in terms of like adopting the way
[00:09:46.940 --> 00:09:47.980]   that I think about architecture,
[00:09:47.980 --> 00:09:50.420]   that's all gonna shift some truly more
[00:09:50.420 --> 00:09:52.700]   of a composite set of vendors.
[00:09:52.700 --> 00:09:55.300]   And there's gonna be a bunch of norms and substrates
[00:09:55.300 --> 00:09:57.380]   and expected practice and how you connect it together.
[00:09:57.380 --> 00:09:59.980]   And so that's one of my big takeaways from this year
[00:09:59.980 --> 00:10:02.860]   is, oh, the pieces are actually starting to fit together.
[00:10:02.860 --> 00:10:05.740]   And we have a clear driver as to why this is occurring.
[00:10:05.740 --> 00:10:09.580]   And it's all about AI, AI, AI, which is more to say,
[00:10:09.580 --> 00:10:12.700]   you wanna add a little bit of intelligence to your app.
[00:10:12.700 --> 00:10:15.460]   We now have, you know, LLMs are easy to,
[00:10:15.460 --> 00:10:17.540]   for anyone to pick up and use and build some
[00:10:17.540 --> 00:10:20.460]   chat-based features from natural language-based feature.
[00:10:20.460 --> 00:10:22.660]   And you wanna build that into your app.
[00:10:22.660 --> 00:10:25.540]   And you wanna do it, whether it's support chatbot
[00:10:25.540 --> 00:10:28.180]   or you're building some type of net new native experience,
[00:10:28.180 --> 00:10:30.580]   you wanna do it because now we have to compete on it.
[00:10:30.580 --> 00:10:32.900]   And so that's the reason for all these enterprises
[00:10:32.900 --> 00:10:34.900]   for the business to make big investment cycles
[00:10:34.900 --> 00:10:36.260]   and to actually adopting these vendors.
[00:10:36.260 --> 00:10:38.060]   So I think that's really exciting.
[00:10:38.060 --> 00:10:42.020]   And also a reason for investment into new infrastructure.
[00:10:42.020 --> 00:10:46.100]   - Yeah, yeah, well, it's a pretty good teaser, sir.
[00:10:46.100 --> 00:10:49.140]   I think this is so interesting
[00:10:49.140 --> 00:10:51.700]   because people assumed back in the day,
[00:10:51.700 --> 00:10:54.260]   either all this stuff, either there's a feature
[00:10:54.260 --> 00:10:57.820]   in the platform or the clouds are just gonna be a couple.
[00:10:57.820 --> 00:11:00.020]   But like I said, like if we're gonna see,
[00:11:00.020 --> 00:11:01.860]   like the not just a versatile modals at the world,
[00:11:01.860 --> 00:11:03.900]   fly at the world, but like specialized clouds
[00:11:03.900 --> 00:11:05.820]   and all the different platforms growing,
[00:11:05.820 --> 00:11:09.660]   even talking to guests today or even mentioning Lambda,
[00:11:09.660 --> 00:11:12.820]   you know, serverless is becoming like a default option.
[00:11:12.820 --> 00:11:15.860]   It's so hard to embed all the old-school identity stuff
[00:11:15.860 --> 00:11:18.740]   everywhere, you know, not even just VPCIMs, right?
[00:11:18.740 --> 00:11:23.740]   Like it's all going to be changed in some way.
[00:11:23.740 --> 00:11:26.460]   I think maybe that will be something we can predict
[00:11:26.460 --> 00:11:28.140]   on how it will change and when.
[00:11:28.140 --> 00:11:31.140]   Talk about AI, AI, AI.
[00:11:31.140 --> 00:11:32.900]   All right, I'll jump into what I wanna,
[00:11:32.900 --> 00:11:35.340]   I think it's something I've really been thinking about
[00:11:35.340 --> 00:11:37.580]   recently, just given the guy's episode
[00:11:37.580 --> 00:11:38.460]   and all the kind of stuff.
[00:11:38.460 --> 00:11:41.180]   Because I think even just like summarizing the episodes,
[00:11:41.180 --> 00:11:43.940]   we talk about AI, but which is pretty much every single
[00:11:43.940 --> 00:11:47.100]   damn one at this point, but right,
[00:11:47.100 --> 00:11:49.740]   the last one we have Modern, we talk about how AI
[00:11:49.740 --> 00:11:51.580]   is changing code refactoring.
[00:11:51.580 --> 00:11:53.940]   And their differentiation was the semantic, right?
[00:11:53.940 --> 00:11:55.660]   The loss of semantic tree, they're able to actually
[00:11:55.660 --> 00:11:58.020]   capture a lot of context to actually generate AI.
[00:11:58.020 --> 00:12:01.380]   Versus just me looking at code and just doing all kind
[00:12:01.380 --> 00:12:05.340]   of code refactoring without all the compiler context, right?
[00:12:05.340 --> 00:12:08.780]   Guy is also kind of arguing, we need a new spec.
[00:12:08.780 --> 00:12:12.380]   We need a new spec to help guide the LLM to know exactly
[00:12:12.380 --> 00:12:14.780]   what is the thing to produce and how to validate them, right?
[00:12:14.780 --> 00:12:16.700]   And all the necessary pieces into it.
[00:12:16.700 --> 00:12:20.260]   Even GPT scripts is trying to add more context
[00:12:20.260 --> 00:12:23.260]   than just me generating just random code.
[00:12:23.260 --> 00:12:26.300]   We need descriptions on how to like guide
[00:12:26.300 --> 00:12:29.420]   and test and add all the functions and stuff like that.
[00:12:29.420 --> 00:12:33.580]   And so like all this conversations one way or another,
[00:12:33.580 --> 00:12:35.700]   my biggest takeaway is like, I think AI,
[00:12:35.700 --> 00:12:39.140]   we all been focusing so much on the LLMs in self these days,
[00:12:39.140 --> 00:12:42.740]   like how big is my parameters, how much context window,
[00:12:42.740 --> 00:12:45.300]   what kind of fancy inference, whatever,
[00:12:45.300 --> 00:12:48.020]   fancy new architecture, all this kind of stuff.
[00:12:48.020 --> 00:12:51.100]   But then the actual thing you wanted to do really,
[00:12:51.100 --> 00:12:53.460]   really well, where you bring into code,
[00:12:53.460 --> 00:12:55.980]   you bring into security, you bring into development,
[00:12:55.980 --> 00:12:57.540]   you bring to whatever, you know,
[00:12:57.540 --> 00:12:59.940]   or natural language answering questions.
[00:12:59.940 --> 00:13:02.100]   What I'm hearing, not even just on our podcast,
[00:13:02.100 --> 00:13:04.740]   but even just outside talking to a bunch of founders.
[00:13:04.740 --> 00:13:09.260]   The thing that really empowers the thing to work with LLMs
[00:13:09.260 --> 00:13:12.780]   is really almost like data structures that's around it.
[00:13:12.780 --> 00:13:16.900]   And these data, these contexts or whatever we think we call them
[00:13:16.900 --> 00:13:21.020]   are the hardest thing to really able to generate and maintain.
[00:13:21.020 --> 00:13:22.460]   We don't even know what it looks like.
[00:13:22.460 --> 00:13:24.300]   We don't really have AI systems everywhere yet.
[00:13:24.300 --> 00:13:26.260]   So we don't even know what a spec looks like, right?
[00:13:26.260 --> 00:13:27.660]   You know, guide, you talked about,
[00:13:27.660 --> 00:13:29.620]   like we probably have a bunch of things there.
[00:13:29.620 --> 00:13:31.380]   It's a community effort, right?
[00:13:31.380 --> 00:13:34.740]   There's probably not gonna be a single, one single file,
[00:13:34.740 --> 00:13:36.220]   you know, that holds everything.
[00:13:36.220 --> 00:13:39.820]   There's gonna be a brand new level of definition
[00:13:39.820 --> 00:13:43.020]   and data structures required to make AI to work.
[00:13:43.020 --> 00:13:47.380]   But just so cool to kind of hear that we look at how AI
[00:13:47.380 --> 00:13:49.980]   actually would become true everywhere,
[00:13:49.980 --> 00:13:52.580]   is that the LLMs will continue to be smaller and cheaper
[00:13:52.580 --> 00:13:54.340]   or whatever they're doing.
[00:13:54.340 --> 00:13:57.780]   But the most important part beyond just the LLM vendors
[00:13:57.780 --> 00:14:00.340]   doing their thing and selling more GPUs
[00:14:00.340 --> 00:14:02.460]   is we actually need to go figure out
[00:14:02.460 --> 00:14:04.220]   for the problem we're solving.
[00:14:04.220 --> 00:14:06.860]   What is this data structure?
[00:14:06.860 --> 00:14:09.820]   We need to start to able to contribute and write to
[00:14:09.820 --> 00:14:12.340]   that can actually able to do way better job
[00:14:12.340 --> 00:14:14.020]   of what we want, right?
[00:14:14.020 --> 00:14:17.380]   Because we need validation or guiding principles
[00:14:17.380 --> 00:14:22.020]   or something context related to help let the LLM see
[00:14:22.020 --> 00:14:24.380]   that this is all the relevant information,
[00:14:24.380 --> 00:14:26.700]   almost like RAG in some level.
[00:14:26.700 --> 00:14:29.860]   But that RAG isn't just stuff all my notion
[00:14:29.860 --> 00:14:31.100]   in Google Docs somewhere, right?
[00:14:31.100 --> 00:14:33.660]   It has to be much, much more specific.
[00:14:33.660 --> 00:14:38.220]   And that information, that context,
[00:14:38.220 --> 00:14:41.980]   will require a very different culture, process,
[00:14:41.980 --> 00:14:45.740]   technology, different compiler that's compiling code
[00:14:45.740 --> 00:14:47.180]   with that getting that data.
[00:14:47.180 --> 00:14:49.860]   It requires a different company, complete week,
[00:14:49.860 --> 00:14:51.700]   trying to come up with a new standard,
[00:14:51.700 --> 00:14:55.060]   requires some level of information or knowledge graph
[00:14:55.060 --> 00:14:57.380]   or whatever thing people have been trying to figure out with.
[00:14:57.380 --> 00:14:58.900]   That is a fun part to me.
[00:14:58.900 --> 00:15:01.340]   Talking to all the practitioners,
[00:15:01.340 --> 00:15:02.980]   it's just a little more refreshing
[00:15:02.980 --> 00:15:04.460]   that we're not just reducing our problems
[00:15:04.460 --> 00:15:06.220]   that you just LLM's, you know?
[00:15:06.220 --> 00:15:09.700]   'Cause I think that's just so boring in my mind.
[00:15:09.700 --> 00:15:12.180]   I just want to keep thinking about like 70 parameters,
[00:15:12.180 --> 00:15:14.660]   800 parameters, and like NeurIPS is the only thing
[00:15:14.660 --> 00:15:15.980]   you should attend and nothing else, right?
[00:15:15.980 --> 00:15:18.260]   Like it seems like our world just reduces down to like
[00:15:18.260 --> 00:15:19.660]   'cause two conferences on earth need to go.
[00:15:19.660 --> 00:15:21.180]   NeurIPS is something else, right?
[00:15:21.180 --> 00:15:22.180]   ICML, right?
[00:15:22.180 --> 00:15:24.340]   Nothing else matters on earth anymore, right?
[00:15:24.340 --> 00:15:27.300]   We're just like, you know, we're in our,
[00:15:27.300 --> 00:15:29.020]   whatever, 30, 40, 50s, you know,
[00:15:29.020 --> 00:15:30.900]   still holding on to Kubernetes.
[00:15:30.900 --> 00:15:32.700]   (laughs)
[00:15:32.700 --> 00:15:35.260]   Grumpy, unfra, oldies, you know?
[00:15:35.260 --> 00:15:40.260]   Like the world still is important around LLM's, you know?
[00:15:40.260 --> 00:15:43.420]   It's just, I don't think we talk about it that much.
[00:15:43.420 --> 00:15:45.580]   - I think that's a great take away.
[00:15:45.580 --> 00:15:48.060]   I mean, that episode of Moderna was just so interesting.
[00:15:48.060 --> 00:15:49.460]   And like one of the things that, you know,
[00:15:49.460 --> 00:15:51.460]   you're really calling out there is,
[00:15:51.460 --> 00:15:53.180]   there's a couple of things we learned this year, right?
[00:15:53.180 --> 00:15:55.100]   We basically exhausted all of the public data
[00:15:55.100 --> 00:15:57.060]   available to train, right?
[00:15:57.060 --> 00:15:58.980]   But more importantly, you know,
[00:15:58.980 --> 00:16:01.300]   I feel like we're broadly in like the pets
[00:16:01.300 --> 00:16:02.980]   not cattle stage of AI.
[00:16:02.980 --> 00:16:06.100]   In the sense that like all the models are massive,
