
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:02:49.880 --> 00:02:52.160]   - Do you have anything like this in Switzerland?
[00:02:52.160 --> 00:02:54.520]   - Yes, the short answer is no.
[00:02:54.520 --> 00:02:57.480]   I mean, I have to say the AI community in,
[00:02:57.480 --> 00:03:00.080]   especially Zurich, where we're based.
[00:03:00.080 --> 00:03:02.520]   It is quite good and it's growing,
[00:03:02.520 --> 00:03:06.040]   especially driven by ETH, the Technical University there.
[00:03:06.040 --> 00:03:07.720]   And all of the big companies,
[00:03:07.720 --> 00:03:08.880]   they have AI teams there.
[00:03:08.880 --> 00:03:11.800]   Google, like Google has the biggest tech hub
[00:03:11.800 --> 00:03:13.800]   outside of the US in Zurich.
[00:03:13.800 --> 00:03:16.600]   Facebook is doing a lot in reality labs.
[00:03:16.600 --> 00:03:18.560]   Apple has a secret AI team.
[00:03:18.560 --> 00:03:20.240]   Open AI and it's what big just announced
[00:03:20.240 --> 00:03:22.120]   that they're coming to Zurich.
[00:03:22.120 --> 00:03:23.760]   So there's a lot happening, yeah, so.
[00:03:23.760 --> 00:03:26.480]   - Yeah, I think the most recent and vulnerable move,
[00:03:26.480 --> 00:03:29.600]   I think, the entire vision team from Google,
[00:03:29.600 --> 00:03:33.360]   LucasBire, and all the other authors of Siglip,
[00:03:33.360 --> 00:03:35.120]   left Google to join Open AI,
[00:03:35.120 --> 00:03:36.000]   which I thought was like,
[00:03:36.000 --> 00:03:38.600]   it's like a big move for a whole team to move all at once.
[00:03:38.600 --> 00:03:39.440]   Oh, it's the same time.
[00:03:39.440 --> 00:03:43.080]   So I've been to Zurich and it just feels expensive.
[00:03:43.080 --> 00:03:46.560]   Like it's a great city, it's a great university,
[00:03:46.560 --> 00:03:49.160]   but I don't see it as like a business hub.
[00:03:49.160 --> 00:03:50.160]   Is it a business hub?
[00:03:50.160 --> 00:03:51.360]   I guess it is, right?
[00:03:51.360 --> 00:03:52.400]   Like it's kind of.
[00:03:52.400 --> 00:03:55.280]   - Well, historically it's a finance hub.
[00:03:55.280 --> 00:03:56.120]   - Finance hub?
[00:03:56.120 --> 00:03:58.480]   - Yeah, I mean, there are some large banks there, right?
[00:03:58.480 --> 00:04:02.880]   Especially UBS, the largest wealth manager in the world.
[00:04:02.880 --> 00:04:05.880]   But it's really becoming more of a tech hub now
[00:04:05.880 --> 00:04:08.280]   with all of the big tech companies there.
[00:04:08.280 --> 00:04:09.480]   - Right, I guess, yeah.
[00:04:09.480 --> 00:04:11.680]   And research wise, it's all ETH.
[00:04:11.680 --> 00:04:13.040]   There's some other things.
[00:04:13.040 --> 00:04:13.880]   - Yeah, yeah, yeah.
[00:04:13.880 --> 00:04:14.880]   - Yeah, it's all driven by ETH
[00:04:14.880 --> 00:04:17.440]   and then it's sister university EPFL,
[00:04:17.440 --> 00:04:21.000]   which is in Lausanne, which they're also doing a lot,
[00:04:21.000 --> 00:04:22.800]   but it's really ETH.
[00:04:22.800 --> 00:04:24.640]   And otherwise, no, I mean, it's a beautiful,
[00:04:24.640 --> 00:04:25.600]   really beautiful city.
[00:04:25.600 --> 00:04:30.120]   I can recommend to anyone to come visit Zurich,
[00:04:30.120 --> 00:04:32.720]   let me know, happy to show you around.
[00:04:32.720 --> 00:04:34.880]   And of course, you have the nature so close,
[00:04:34.880 --> 00:04:36.000]   you have the mountains so close,
[00:04:36.000 --> 00:04:38.600]   you have so beautiful lakes.
[00:04:38.600 --> 00:04:42.000]   I think that's what makes it such a livable city.
[00:04:42.000 --> 00:04:45.320]   And the cost is not cheap,
